"Year","Gender","Age at diagnosis","Geography type","Geography code","Geography name ","NDRS main","Count","Type of rate","Rate","95% lower confidence interval","95% upper confidence interval","Flag"
2022,"Persons","00 to 24","Local Authority Unitary Authories (LAUA)","E07000200","Babergh","Bowel","0","Age-specific","[u]","[u]","[u]","[note2]"
2022,"Persons","00 to 24","Local Authority Unitary Authories (LAUA)","E07000200","Babergh","Lung","0","Age-specific","[u]","[u]","[u]","[note2]"
2022,"Persons","00 to 24","Local Authority Unitary Authories (LAUA)","E07000200","Babergh","Skin cancer","0","Age-specific","[u]","[u]","[u]","[note2]"
2022,"Persons","25 to 49","Local Authority Unitary Authories (LAUA)","E07000200","Babergh","Bowel","1","Age-specific","[u]","[u]","[u]","[note2]"
2022,"Persons","25 to 49","Local Authority Unitary Authories (LAUA)","E07000200","Babergh","Lung","0","Age-specific","[u]","[u]","[u]","[note2]"
2022,"Persons","25 to 49","Local Authority Unitary Authories (LAUA)","E07000200","Babergh","Skin cancer","21","Age-specific","83.9","51.9","128.3",NA
2022,"Persons","50 to 59","Local Authority Unitary Authories (LAUA)","E07000200","Babergh","Bowel","10","Age-specific","70.6","33.8","129.8",NA
2022,"Persons","50 to 59","Local Authority Unitary Authories (LAUA)","E07000200","Babergh","Lung","4","Age-specific","28.2","7.7","72.3",NA
2022,"Persons","50 to 59","Local Authority Unitary Authories (LAUA)","E07000200","Babergh","Skin cancer","31","Age-specific","218.8","148.6","310.6",NA
2022,"Persons","60 to 69","Local Authority Unitary Authories (LAUA)","E07000200","Babergh","Bowel","17","Age-specific","133","77.4","212.9",NA
2022,"Persons","60 to 69","Local Authority Unitary Authories (LAUA)","E07000200","Babergh","Lung","14","Age-specific","109.5","59.8","183.7",NA
2022,"Persons","60 to 69","Local Authority Unitary Authories (LAUA)","E07000200","Babergh","Skin cancer","95","Age-specific","743.1","601.2","908.4",NA
2022,"Persons","70 to 79","Local Authority Unitary Authories (LAUA)","E07000200","Babergh","Bowel","23","Age-specific","187.1","118.5","280.7",NA
2022,"Persons","70 to 79","Local Authority Unitary Authories (LAUA)","E07000200","Babergh","Lung","38","Age-specific","309.1","218.7","424.2",NA
2022,"Persons","70 to 79","Local Authority Unitary Authories (LAUA)","E07000200","Babergh","Skin cancer","207","Age-specific","1683.6","1462","1929.3",NA
2022,"Persons","80 and over","Local Authority Unitary Authories (LAUA)","E07000200","Babergh","Bowel","24","Age-specific","340.7","218.2","507",NA
2022,"Persons","80 and over","Local Authority Unitary Authories (LAUA)","E07000200","Babergh","Lung","19","Age-specific","269.7","162.3","421.2",NA
2022,"Persons","80 and over","Local Authority Unitary Authories (LAUA)","E07000200","Babergh","Skin cancer","198","Age-specific","2810.9","2433","3230.9",NA
2022,"Persons","00 to 24","Local Authority Unitary Authories (LAUA)","E07000066","Basildon","Bowel","0","Age-specific","[u]","[u]","[u]","[note2]"
2022,"Persons","00 to 24","Local Authority Unitary Authories (LAUA)","E07000066","Basildon","Lung","1","Age-specific","[u]","[u]","[u]","[note2]"
2022,"Persons","00 to 24","Local Authority Unitary Authories (LAUA)","E07000066","Basildon","Skin cancer","2","Age-specific","[u]","[u]","[u]","[note2]"
2022,"Persons","25 to 49","Local Authority Unitary Authories (LAUA)","E07000066","Basildon","Bowel","8","Age-specific","12.6","5.4","24.8",NA
2022,"Persons","25 to 49","Local Authority Unitary Authories (LAUA)","E07000066","Basildon","Lung","4","Age-specific","6.3","1.7","16.1",NA
2022,"Persons","25 to 49","Local Authority Unitary Authories (LAUA)","E07000066","Basildon","Skin cancer","48","Age-specific","75.5","55.7","100.1",NA
2022,"Persons","50 to 59","Local Authority Unitary Authories (LAUA)","E07000066","Basildon","Bowel","16","Age-specific","63.7","36.4","103.4",NA
2022,"Persons","50 to 59","Local Authority Unitary Authories (LAUA)","E07000066","Basildon","Lung","14","Age-specific","55.7","30.4","93.5",NA
2022,"Persons","50 to 59","Local Authority Unitary Authories (LAUA)","E07000066","Basildon","Skin cancer","100","Age-specific","397.9","323.8","484",NA
2022,"Persons","60 to 69","Local Authority Unitary Authories (LAUA)","E07000066","Basildon","Bowel","34","Age-specific","176.2","122","246.2",NA
2022,"Persons","60 to 69","Local Authority Unitary Authories (LAUA)","E07000066","Basildon","Lung","29","Age-specific","150.3","100.6","215.8",NA
2022,"Persons","60 to 69","Local Authority Unitary Authories (LAUA)","E07000066","Basildon","Skin cancer","151","Age-specific","782.5","662.6","917.7",NA
2022,"Persons","70 to 79","Local Authority Unitary Authories (LAUA)","E07000066","Basildon","Bowel","35","Age-specific","230.9","160.8","321.1",NA
2022,"Persons","70 to 79","Local Authority Unitary Authories (LAUA)","E07000066","Basildon","Lung","42","Age-specific","277.1","199.7","374.5",NA
2022,"Persons","70 to 79","Local Authority Unitary Authories (LAUA)","E07000066","Basildon","Skin cancer","295","Age-specific","1946","1730.3","2181.3",NA
2022,"Persons","80 and over","Local Authority Unitary Authories (LAUA)","E07000066","Basildon","Bowel","33","Age-specific","383.7","264.1","538.8",NA
2022,"Persons","80 and over","Local Authority Unitary Authories (LAUA)","E07000066","Basildon","Lung","55","Age-specific","639.5","481.7","832.4",NA
2022,"Persons","80 and over","Local Authority Unitary Authories (LAUA)","E07000066","Basildon","Skin cancer","302","Age-specific","3511.2","3126.3","3930.4",NA
2022,"Persons","00 to 24","Local Authority Unitary Authories (LAUA)","E06000055","Bedford","Bowel","0","Age-specific","[u]","[u]","[u]","[note2]"
2022,"Persons","00 to 24","Local Authority Unitary Authories (LAUA)","E06000055","Bedford","Lung","0","Age-specific","[u]","[u]","[u]","[note2]"
2022,"Persons","00 to 24","Local Authority Unitary Authories (LAUA)","E06000055","Bedford","Skin cancer","0","Age-specific","[u]","[u]","[u]","[note2]"
2022,"Persons","25 to 49","Local Authority Unitary Authories (LAUA)","E06000055","Bedford","Bowel","7","Age-specific","10.9","4.4","22.4",NA
2022,"Persons","25 to 49","Local Authority Unitary Authories (LAUA)","E06000055","Bedford","Lung","0","Age-specific","[u]","[u]","[u]","[note2]"
2022,"Persons","25 to 49","Local Authority Unitary Authories (LAUA)","E06000055","Bedford","Skin cancer","37","Age-specific","57.4","40.4","79.2",NA
2022,"Persons","50 to 59","Local Authority Unitary Authories (LAUA)","E06000055","Bedford","Bowel","14","Age-specific","55.6","30.4","93.3",NA
2022,"Persons","50 to 59","Local Authority Unitary Authories (LAUA)","E06000055","Bedford","Lung","11","Age-specific","43.7","21.8","78.2",NA
2022,"Persons","50 to 59","Local Authority Unitary Authories (LAUA)","E06000055","Bedford","Skin cancer","56","Age-specific","222.4","168","288.8",NA
2022,"Persons","60 to 69","Local Authority Unitary Authories (LAUA)","E06000055","Bedford","Bowel","24","Age-specific","126","80.7","187.5",NA
2022,"Persons","60 to 69","Local Authority Unitary Authories (LAUA)","E06000055","Bedford","Lung","35","Age-specific","183.8","128","255.6",NA
2022,"Persons","60 to 69","Local Authority Unitary Authories (LAUA)","E06000055","Bedford","Skin cancer","103","Age-specific","540.9","441.5","655.9",NA
2022,"Persons","70 to 79","Local Authority Unitary Authories (LAUA)","E06000055","Bedford","Bowel","43","Age-specific","293.3","212.2","395",NA
2022,"Persons","70 to 79","Local Authority Unitary Authories (LAUA)","E06000055","Bedford","Lung","50","Age-specific","341","253.1","449.6",NA
2022,"Persons","70 to 79","Local Authority Unitary Authories (LAUA)","E06000055","Bedford","Skin cancer","236","Age-specific","1609.5","1410.7","1828.5",NA
2022,"Persons","80 and over","Local Authority Unitary Authories (LAUA)","E06000055","Bedford","Bowel","31","Age-specific","356","241.8","505.3",NA
2022,"Persons","80 and over","Local Authority Unitary Authories (LAUA)","E06000055","Bedford","Lung","32","Age-specific","367.5","251.3","518.8",NA
2022,"Persons","80 and over","Local Authority Unitary Authories (LAUA)","E06000055","Bedford","Skin cancer","292","Age-specific","3353.2","2979.6","3760.8",NA
2022,"Persons","00 to 24","Local Authority Unitary Authories (LAUA)","E07000067","Braintree","Bowel","0","Age-specific","[u]","[u]","[u]","[note2]"
2022,"Persons","00 to 24","Local Authority Unitary Authories (LAUA)","E07000067","Braintree","Lung","0","Age-specific","[u]","[u]","[u]","[note2]"
2022,"Persons","00 to 24","Local Authority Unitary Authories (LAUA)","E07000067","Braintree","Skin cancer","1","Age-specific","[u]","[u]","[u]","[note2]"
2022,"Persons","25 to 49","Local Authority Unitary Authories (LAUA)","E07000067","Braintree","Bowel","7","Age-specific","14.1","5.7","29.1",NA
2022,"Persons","25 to 49","Local Authority Unitary Authories (LAUA)","E07000067","Braintree","Lung","4","Age-specific","8.1","2.2","20.7",NA
2022,"Persons","25 to 49","Local Authority Unitary Authories (LAUA)","E07000067","Braintree","Skin cancer","40","Age-specific","80.7","57.6","109.9",NA
2022,"Persons","50 to 59","Local Authority Unitary Authories (LAUA)","E07000067","Braintree","Bowel","21","Age-specific","91","56.3","139.1",NA
2022,"Persons","50 to 59","Local Authority Unitary Authories (LAUA)","E07000067","Braintree","Lung","10","Age-specific","43.3","20.7","79.7",NA
2022,"Persons","50 to 59","Local Authority Unitary Authories (LAUA)","E07000067","Braintree","Skin cancer","94","Age-specific","407.3","329.1","498.4",NA
2022,"Persons","60 to 69","Local Authority Unitary Authories (LAUA)","E07000067","Braintree","Bowel","21","Age-specific","115.8","71.6","177",NA
2022,"Persons","60 to 69","Local Authority Unitary Authories (LAUA)","E07000067","Braintree","Lung","23","Age-specific","126.8","80.3","190.2",NA
2022,"Persons","60 to 69","Local Authority Unitary Authories (LAUA)","E07000067","Braintree","Skin cancer","144","Age-specific","793.8","669.4","934.5",NA
2022,"Persons","70 to 79","Local Authority Unitary Authories (LAUA)","E07000067","Braintree","Bowel","32","Age-specific","203.1","138.9","286.7",NA
2022,"Persons","70 to 79","Local Authority Unitary Authories (LAUA)","E07000067","Braintree","Lung","32","Age-specific","203.1","138.9","286.7",NA
2022,"Persons","70 to 79","Local Authority Unitary Authories (LAUA)","E07000067","Braintree","Skin cancer","298","Age-specific","1891.5","1682.8","2118.9",NA
2022,"Persons","80 and over","Local Authority Unitary Authories (LAUA)","E07000067","Braintree","Bowel","32","Age-specific","381.7","261","538.8",NA
2022,"Persons","80 and over","Local Authority Unitary Authories (LAUA)","E07000067","Braintree","Lung","19","Age-specific","226.6","136.4","353.9",NA
2022,"Persons","80 and over","Local Authority Unitary Authories (LAUA)","E07000067","Braintree","Skin cancer","247","Age-specific","2946.1","2590.1","3337.3",NA
2022,"Persons","00 to 24","Local Authority Unitary Authories (LAUA)","E07000143","Breckland","Bowel","0","Age-specific","[u]","[u]","[u]","[note2]"
2022,"Persons","00 to 24","Local Authority Unitary Authories (LAUA)","E07000143","Breckland","Lung","0","Age-specific","[u]","[u]","[u]","[note2]"
2022,"Persons","00 to 24","Local Authority Unitary Authories (LAUA)","E07000143","Breckland","Skin cancer","0","Age-specific","[u]","[u]","[u]","[note2]"
2022,"Persons","25 to 49","Local Authority Unitary Authories (LAUA)","E07000143","Breckland","Bowel","4","Age-specific","9.8","2.7","25.1",NA
2022,"Persons","25 to 49","Local Authority Unitary Authories (LAUA)","E07000143","Breckland","Lung","2","Age-specific","[u]","[u]","[u]","[note2]"
2022,"Persons","25 to 49","Local Authority Unitary Authories (LAUA)","E07000143","Breckland","Skin cancer","29","Age-specific","70.9","47.5","101.9",NA
2022,"Persons","50 to 59","Local Authority Unitary Authories (LAUA)","E07000143","Breckland","Bowel","18","Age-specific","86.6","51.3","136.9",NA
