"Year","Gender","Age at diagnosis","Geography type","Geography code","Geography name ","NDRS main","Count","Type of rate","Rate","95% lower confidence interval","95% upper confidence interval","Flag"
2022,"Persons","All ages","Local Authority Unitary Authories (LAUA)","E07000200","Babergh","All malignant cancers excluding NMSC (ICD10)","701","Non-standardised","743.5","689.4","800.6",NA
2022,"Persons","All ages","Local Authority Unitary Authories (LAUA)","E07000200","Babergh","All malignant cancers excluding NMSC (ICD10)","701","Age-gender-standardised","589.9","546.2","636.1",NA
2022,"Persons","All ages","Local Authority Unitary Authories (LAUA)","E07000066","Basildon","All malignant cancers excluding NMSC (ICD10)","1028","Non-standardised","544.5","511.7","578.8",NA
2022,"Persons","All ages","Local Authority Unitary Authories (LAUA)","E07000066","Basildon","All malignant cancers excluding NMSC (ICD10)","1028","Age-gender-standardised","602","565.5","640.3",NA
2022,"Persons","All ages","Local Authority Unitary Authories (LAUA)","E06000055","Bedford","All malignant cancers excluding NMSC (ICD10)","1103","Non-standardised","588.3","554","624",NA
2022,"Persons","All ages","Local Authority Unitary Authories (LAUA)","E06000055","Bedford","All malignant cancers excluding NMSC (ICD10)","1103","Age-gender-standardised","650.7","612.6","690.5",NA
2022,"Persons","All ages","Local Authority Unitary Authories (LAUA)","E07000067","Braintree","All malignant cancers excluding NMSC (ICD10)","893","Non-standardised","566.6","530","605",NA
2022,"Persons","All ages","Local Authority Unitary Authories (LAUA)","E07000067","Braintree","All malignant cancers excluding NMSC (ICD10)","893","Age-gender-standardised","542.6","507.5","579.6",NA
2022,"Persons","All ages","Local Authority Unitary Authories (LAUA)","E07000143","Breckland","All malignant cancers excluding NMSC (ICD10)","1083","Non-standardised","754.9","710.6","801.3",NA
2022,"Persons","All ages","Local Authority Unitary Authories (LAUA)","E07000143","Breckland","All malignant cancers excluding NMSC (ICD10)","1083","Age-gender-standardised","629.7","592.4","668.9",NA
2022,"Persons","All ages","Local Authority Unitary Authories (LAUA)","E07000068","Brentwood","All malignant cancers excluding NMSC (ICD10)","443","Non-standardised","572.7","520.6","628.6",NA
2022,"Persons","All ages","Local Authority Unitary Authories (LAUA)","E07000068","Brentwood","All malignant cancers excluding NMSC (ICD10)","443","Age-gender-standardised","556.4","505.4","611.1",NA
2022,"Persons","All ages","Local Authority Unitary Authories (LAUA)","E07000144","Broadland","All malignant cancers excluding NMSC (ICD10)","952","Non-standardised","711.1","666.6","757.7",NA
2022,"Persons","All ages","Local Authority Unitary Authories (LAUA)","E07000144","Broadland","All malignant cancers excluding NMSC (ICD10)","952","Age-gender-standardised","568.9","532.8","606.8",NA
2022,"Persons","All ages","Local Authority Unitary Authories (LAUA)","E07000095","Broxbourne","All malignant cancers excluding NMSC (ICD10)","575","Non-standardised","580.8","534.3","630.3",NA
2022,"Persons","All ages","Local Authority Unitary Authories (LAUA)","E07000095","Broxbourne","All malignant cancers excluding NMSC (ICD10)","575","Age-gender-standardised","631","580.1","685.1",NA
2022,"Persons","All ages","Local Authority Unitary Authories (LAUA)","E07000008","Cambridge","All malignant cancers excluding NMSC (ICD10)","641","Non-standardised","433.7","400.7","468.6",NA
2022,"Persons","All ages","Local Authority Unitary Authories (LAUA)","E07000008","Cambridge","All malignant cancers excluding NMSC (ICD10)","641","Age-gender-standardised","642.4","592.4","695.4",NA
2022,"Persons","All ages","Local Authority Unitary Authories (LAUA)","E07000069","Castle Point","All malignant cancers excluding NMSC (ICD10)","687","Non-standardised","765.5","709.3","825",NA
2022,"Persons","All ages","Local Authority Unitary Authories (LAUA)","E07000069","Castle Point","All malignant cancers excluding NMSC (ICD10)","687","Age-gender-standardised","632","584.7","682",NA
2022,"Persons","All ages","Local Authority Unitary Authories (LAUA)","E06000056","Central Bedfordshire","All malignant cancers excluding NMSC (ICD10)","1778","Non-standardised","589.1","562","617.1",NA
