"Year","Gender","Age at diagnosis","Geography type","Geography code","Geography name ","NDRS main","Count","Type of rate","Rate","95% lower confidence interval","95% upper confidence interval","Flag"
2022,"Persons","All ages","Local Authority Unitary Authories (LAUA)","E07000200","Babergh","Bowel","75","Non-standardised","79.5","62.6","99.7",NA
2022,"Persons","All ages","Local Authority Unitary Authories (LAUA)","E07000200","Babergh","Bowel","75","Age-gender-standardised","60.6","47.5","76.1",NA
2022,"Persons","All ages","Local Authority Unitary Authories (LAUA)","E07000066","Basildon","Bowel","126","Non-standardised","66.7","55.6","79.5",NA
2022,"Persons","All ages","Local Authority Unitary Authories (LAUA)","E07000066","Basildon","Bowel","126","Age-gender-standardised","73.9","61.5","88.1",NA
2022,"Persons","All ages","Local Authority Unitary Authories (LAUA)","E06000055","Bedford","Bowel","119","Non-standardised","63.5","52.6","75.9",NA
2022,"Persons","All ages","Local Authority Unitary Authories (LAUA)","E06000055","Bedford","Bowel","119","Age-gender-standardised","71.2","58.9","85.3",NA
2022,"Persons","All ages","Local Authority Unitary Authories (LAUA)","E07000067","Braintree","Bowel","113","Non-standardised","71.7","59.1","86.2",NA
2022,"Persons","All ages","Local Authority Unitary Authories (LAUA)","E07000067","Braintree","Bowel","113","Age-gender-standardised","68.2","56.1","82.1",NA
2022,"Persons","All ages","Local Authority Unitary Authories (LAUA)","E07000143","Breckland","Bowel","129","Non-standardised","89.9","75.1","106.8",NA
2022,"Persons","All ages","Local Authority Unitary Authories (LAUA)","E07000143","Breckland","Bowel","129","Age-gender-standardised","74.6","62.1","88.7",NA
2022,"Persons","All ages","Local Authority Unitary Authories (LAUA)","E07000068","Brentwood","Bowel","44","Non-standardised","56.9","41.3","76.4",NA
2022,"Persons","All ages","Local Authority Unitary Authories (LAUA)","E07000068","Brentwood","Bowel","44","Age-gender-standardised","54.1","39.1","72.8",NA
2022,"Persons","All ages","Local Authority Unitary Authories (LAUA)","E07000144","Broadland","Bowel","116","Non-standardised","86.6","71.6","103.9",NA
2022,"Persons","All ages","Local Authority Unitary Authories (LAUA)","E07000144","Broadland","Bowel","116","Age-gender-standardised","66","54.4","79.4",NA
2022,"Persons","All ages","Local Authority Unitary Authories (LAUA)","E07000095","Broxbourne","Bowel","57","Non-standardised","57.6","43.6","74.6",NA
2022,"Persons","All ages","Local Authority Unitary Authories (LAUA)","E07000095","Broxbourne","Bowel","57","Age-gender-standardised","61.5","46.4","79.8",NA
2022,"Persons","All ages","Local Authority Unitary Authories (LAUA)","E07000008","Cambridge","Bowel","61","Non-standardised","41.3","31.6","53",NA
2022,"Persons","All ages","Local Authority Unitary Authories (LAUA)","E07000008","Cambridge","Bowel","61","Age-gender-standardised","64.6","49.2","83.3",NA
2022,"Persons","All ages","Local Authority Unitary Authories (LAUA)","E07000069","Castle Point","Bowel","83","Non-standardised","92.5","73.7","114.7",NA
2022,"Persons","All ages","Local Authority Unitary Authories (LAUA)","E07000069","Castle Point","Bowel","83","Age-gender-standardised","75.9","60.1","94.5",NA
2022,"Persons","All ages","Local Authority Unitary Authories (LAUA)","E06000056","Central Bedfordshire","Bowel","196","Non-standardised","64.9","56.2","74.7",NA
2022,"Persons","All ages","Local Authority Unitary Authories (LAUA)","E06000056","Central Bedfordshire","Bowel","196","Age-gender-standardised","68.4","59.1","78.7",NA
2022,"Persons","All ages","Local Authority Unitary Authories (LAUA)","E07000070","Chelmsford","Bowel","126","Non-standardised","68.7","57.2","81.8",NA
2022,"Persons","All ages","Local Authority Unitary Authories (LAUA)","E07000070","Chelmsford","Bowel","126","Age-gender-standardised","68.9","57.3","82.1",NA
2022,"Persons","All ages","Local Authority Unitary Authories (LAUA)","E07000071","Colchester","Bowel","134","Non-standardised","68.8","57.7","81.5",NA
2022,"Persons","All ages","Local Authority Unitary Authories (LAUA)","E07000071","Colchester","Bowel","134","Age-gender-standardised","74.1","62","87.9",NA
2022,"Persons","All ages","Local Authority Unitary Authories (LAUA)","E07000096","Dacorum","Bowel","114","Non-standardised","73","60.2","87.7",NA
2022,"Persons","All ages","Local Authority Unitary Authories (LAUA)","E07000096","Dacorum","Bowel","114","Age-gender-standardised","77.4","63.7","93.1",NA
2022,"Persons","All ages","Local Authority Unitary Authories (LAUA)","E07000009","East Cambridgeshire","Bowel","73","Non-standardised","81.6","64","102.6",NA
2022,"Persons","All ages","Local Authority Unitary Authories (LAUA)","E07000009","East Cambridgeshire","Bowel","73","Age-gender-standardised","76.2","59.6","95.9",NA
2022,"Persons","All ages","Local Authority Unitary Authories (LAUA)","E07000242","East Hertfordshire","Bowel","98","Non-standardised","64.6","52.4","78.7",NA
2022,"Persons","All ages","Local Authority Unitary Authories (LAUA)","E07000242","East Hertfordshire","Bowel","98","Age-gender-standardised","66","53.5","80.5",NA
2022,"Persons","All ages","Local Authority Unitary Authories (LAUA)","E07000244","East Suffolk","Bowel","229","Non-standardised","92.7","81.1","105.5",NA
2022,"Persons","All ages","Local Authority Unitary Authories (LAUA)","E07000244","East Suffolk","Bowel","229","Age-gender-standardised","70.6","61.5","80.6",NA
2022,"Persons","All ages","Local Authority Unitary Authories (LAUA)","E07000072","Epping Forest","Bowel","117","Non-standardised","86.7","71.7","103.9",NA
2022,"Persons","All ages","Local Authority Unitary Authories (LAUA)","E07000072","Epping Forest","Bowel","117","Age-gender-standardised","83.6","69","100.3",NA
