"Year","Gender","Age at diagnosis","Geography type","Geography code","Geography name ","NDRS main","Count","Type of rate","Rate","95% lower confidence interval","95% upper confidence interval","Flag"
2022,"Females","All ages","Local Authority Unitary Authories (LAUA)","E07000200","Babergh","Breast","112","Non-standardised","230.6","189.9","277.5",NA
2022,"Females","All ages","Local Authority Unitary Authories (LAUA)","E07000200","Babergh","Breast","112","Age-standardised","195.1","159.5","236",NA
2022,"Females","All ages","Local Authority Unitary Authories (LAUA)","E07000066","Basildon","Breast","135","Non-standardised","139.1","116.6","164.7",NA
2022,"Females","All ages","Local Authority Unitary Authories (LAUA)","E07000066","Basildon","Breast","135","Age-standardised","142.8","119.7","169",NA
2022,"Females","All ages","Local Authority Unitary Authories (LAUA)","E06000055","Bedford","Breast","160","Non-standardised","167.8","142.8","195.9",NA
2022,"Females","All ages","Local Authority Unitary Authories (LAUA)","E06000055","Bedford","Breast","160","Age-standardised","175.8","149.5","205.3",NA
2022,"Females","All ages","Local Authority Unitary Authories (LAUA)","E07000067","Braintree","Breast","130","Non-standardised","161.5","134.9","191.8",NA
2022,"Females","All ages","Local Authority Unitary Authories (LAUA)","E07000067","Braintree","Breast","130","Age-standardised","150.8","125.9","179.1",NA
2022,"Females","All ages","Local Authority Unitary Authories (LAUA)","E07000143","Breckland","Breast","162","Non-standardised","223.9","190.8","261.2",NA
2022,"Females","All ages","Local Authority Unitary Authories (LAUA)","E07000143","Breckland","Breast","162","Age-standardised","187.4","159.1","219.1",NA
2022,"Females","All ages","Local Authority Unitary Authories (LAUA)","E07000068","Brentwood","Breast","74","Non-standardised","186.1","146.1","233.7",NA
2022,"Females","All ages","Local Authority Unitary Authories (LAUA)","E07000068","Brentwood","Breast","74","Age-standardised","178.6","140.1","224.5",NA
2022,"Females","All ages","Local Authority Unitary Authories (LAUA)","E07000144","Broadland","Breast","125","Non-standardised","182.1","151.6","217",NA
2022,"Females","All ages","Local Authority Unitary Authories (LAUA)","E07000144","Broadland","Breast","125","Age-standardised","150.7","124.9","180.1",NA
2022,"Females","All ages","Local Authority Unitary Authories (LAUA)","E07000095","Broxbourne","Breast","69","Non-standardised","134.7","104.8","170.5",NA
2022,"Females","All ages","Local Authority Unitary Authories (LAUA)","E07000095","Broxbourne","Breast","69","Age-standardised","137.8","107.1","174.6",NA
2022,"Females","All ages","Local Authority Unitary Authories (LAUA)","E07000008","Cambridge","Breast","100","Non-standardised","135.3","110.1","164.5",NA
2022,"Females","All ages","Local Authority Unitary Authories (LAUA)","E07000008","Cambridge","Breast","100","Age-standardised","177.4","143.7","216.6",NA
2022,"Females","All ages","Local Authority Unitary Authories (LAUA)","E07000069","Castle Point","Breast","92","Non-standardised","198.9","160.3","243.9",NA
2022,"Females","All ages","Local Authority Unitary Authories (LAUA)","E07000069","Castle Point","Breast","92","Age-standardised","163.8","131.1","202",NA
2022,"Females","All ages","Local Authority Unitary Authories (LAUA)","E06000056","Central Bedfordshire","Breast","252","Non-standardised","164.5","144.8","186.1",NA
2022,"Females","All ages","Local Authority Unitary Authories (LAUA)","E06000056","Central Bedfordshire","Breast","252","Age-standardised","163.9","144.2","185.4",NA
2022,"Females","All ages","Local Authority Unitary Authories (LAUA)","E07000070","Chelmsford","Breast","169","Non-standardised","180.6","154.4","210",NA
2022,"Females","All ages","Local Authority Unitary Authories (LAUA)","E07000070","Chelmsford","Breast","169","Age-standardised","177.7","151.8","206.7",NA
2022,"Females","All ages","Local Authority Unitary Authories (LAUA)","E07000071","Colchester","Breast","147","Non-standardised","148.1","125.1","174.1",NA
2022,"Females","All ages","Local Authority Unitary Authories (LAUA)","E07000071","Colchester","Breast","147","Age-standardised","152.6","128.8","179.4",NA
2022,"Females","All ages","Local Authority Unitary Authories (LAUA)","E07000096","Dacorum","Breast","164","Non-standardised","206.4","176","240.5",NA
2022,"Females","All ages","Local Authority Unitary Authories (LAUA)","E07000096","Dacorum","Breast","164","Age-standardised","209.3","178.4","244",NA
2022,"Females","All ages","Local Authority Unitary Authories (LAUA)","E07000009","East Cambridgeshire","Breast","83","Non-standardised","182.2","145.1","225.8",NA
2022,"Females","All ages","Local Authority Unitary Authories (LAUA)","E07000009","East Cambridgeshire","Breast","83","Age-standardised","168.2","133.8","208.6",NA
2022,"Females","All ages","Local Authority Unitary Authories (LAUA)","E07000242","East Hertfordshire","Breast","155","Non-standardised","199.7","169.5","233.7",NA
2022,"Females","All ages","Local Authority Unitary Authories (LAUA)","E07000242","East Hertfordshire","Breast","155","Age-standardised","193","163.7","226",NA
2022,"Females","All ages","Local Authority Unitary Authories (LAUA)","E07000244","East Suffolk","Breast","281","Non-standardised","222.1","196.9","249.6",NA
2022,"Females","All ages","Local Authority Unitary Authories (LAUA)","E07000244","East Suffolk","Breast","281","Age-standardised","176.4","155.7","199",NA
2022,"Females","All ages","Local Authority Unitary Authories (LAUA)","E07000072","Epping Forest","Breast","115","Non-standardised","165.2","136.4","198.3",NA
2022,"Females","All ages","Local Authority Unitary Authories (LAUA)","E07000072","Epping Forest","Breast","115","Age-standardised","158.3","130.6","190.2",NA
2022,"Females","All ages","Local Authority Unitary Authories (LAUA)","E07000010","Fenland","Breast","107","Non-standardised","203.3","166.6","245.6",NA
2022,"Females","All ages","Local Authority Unitary Authories (LAUA)","E07000010","Fenland","Breast","107","Age-standardised","178.7","146.1","216.4",NA
2022,"Females","All ages","Local Authority Unitary Authories (LAUA)","E07000145","Great Yarmouth","Breast","107","Non-standardised","209.4","171.6","253",NA
2022,"Females","All ages","Local Authority Unitary Authories (LAUA)","E07000145","Great Yarmouth","Breast","107","Age-standardised","178.5","145.9","216.2",NA
2022,"Females","All ages","Local Authority Unitary Authories (LAUA)","E07000073","Harlow","Breast","61","Non-standardised","125.5","96","161.2",NA
2022,"Females","All ages","Local Authority Unitary Authories (LAUA)","E07000073","Harlow","Breast","61","Age-standardised","140.4","107","180.7",NA
2022,"Females","All ages","Local Authority Unitary Authories (LAUA)","E07000098","Hertsmere","Breast","108","Non-standardised","192.1","157.5","231.9",NA
2022,"Females","All ages","Local Authority Unitary Authories (LAUA)","E07000098","Hertsmere","Breast","108","Age-standardised","191.6","157","231.5",NA
2022,"Females","All ages","Local Authority Unitary Authories (LAUA)","E07000011","Huntingdonshire","Breast","168","Non-standardised","180.8","154.5","210.3",NA
2022,"Females","All ages","Local Authority Unitary Authories (LAUA)","E07000011","Huntingdonshire","Breast","168","Age-standardised","169.4","144.7","197.1",NA
2022,"Females","All ages","Local Authority Unitary Authories (LAUA)","E07000202","Ipswich","Breast","97","Non-standardised","138.2","112.1","168.6",NA
2022,"Females","All ages","Local Authority Unitary Authories (LAUA)","E07000202","Ipswich","Breast","97","Age-standardised","147","119.1","179.4",NA
2022,"Females","All ages","Local Authority Unitary Authories (LAUA)","E07000146","King's Lynn and West Norfolk","Breast","165","Non-standardised","207.5","177","241.7",NA
2022,"Females","All ages","Local Authority Unitary Authories (LAUA)","E07000146","King's Lynn and West Norfolk","Breast","165","Age-standardised","169.6","144.1","198.3",NA
2022,"Females","All ages","Local Authority Unitary Authories (LAUA)","E06000032","Luton","Breast","128","Non-standardised","113.8","95","135.4",NA
2022,"Females","All ages","Local Authority Unitary Authories (LAUA)","E06000032","Luton","Breast","128","Age-standardised","149.9","124.7","178.7",NA
2022,"Females","All ages","Local Authority Unitary Authories (LAUA)","E07000074","Maldon","Breast","82","Non-standardised","237.5","188.9","294.9",NA
2022,"Females","All ages","Local Authority Unitary Authories (LAUA)","E07000074","Maldon","Breast","82","Age-standardised","194.8","154.2","242.6",NA
2022,"Females","All ages","Local Authority Unitary Authories (LAUA)","E07000203","Mid Suffolk","Breast","112","Non-standardised","209.2","172.3","251.8",NA
2022,"Females","All ages","Local Authority Unitary Authories (LAUA)","E07000203","Mid Suffolk","Breast","112","Age-standardised","180.2","147.7","217.5",NA
2022,"Females","All ages","Local Authority Unitary Authories (LAUA)","E07000099","North Hertfordshire","Breast","136","Non-standardised","197","165.3","233",NA
2022,"Females","All ages","Local Authority Unitary Authories (LAUA)","E07000099","North Hertfordshire","Breast","136","Age-standardised","190.4","159.6","225.4",NA
2022,"Females","All ages","Local Authority Unitary Authories (LAUA)","E07000147","North Norfolk","Breast","143","Non-standardised","270.6","228","318.7",NA
2022,"Females","All ages","Local Authority Unitary Authories (LAUA)","E07000147","North Norfolk","Breast","143","Age-standardised","183.9","153","218.9",NA
2022,"Females","All ages","Local Authority Unitary Authories (LAUA)","E07000148","Norwich","Breast","109","Non-standardised","149.3","122.6","180.1",NA
2022,"Females","All ages","Local Authority Unitary Authories (LAUA)","E07000148","Norwich","Breast","109","Age-standardised","176.4","144.6","213",NA
2022,"Females","All ages","Local Authority Unitary Authories (LAUA)","E06000031","Peterborough","Breast","160","Non-standardised","145.3","123.6","169.6",NA
2022,"Females","All ages","Local Authority Unitary Authories (LAUA)","E06000031","Peterborough","Breast","160","Age-standardised","166.9","141.8","195",NA
2022,"Females","All ages","Local Authority Unitary Authories (LAUA)","E07000075","Rochford","Breast","100","Non-standardised","222.5","181","270.6",NA
2022,"Females","All ages","Local Authority Unitary Authories (LAUA)","E07000075","Rochford","Breast","100","Age-standardised","200.6","162.7","244.6",NA
2022,"Females","All ages","Local Authority Unitary Authories (LAUA)","E07000012","South Cambridgeshire","Breast","167","Non-standardised","197.6","168.7","229.9",NA
2022,"Females","All ages","Local Authority Unitary Authories (LAUA)","E07000012","South Cambridgeshire","Breast","167","Age-standardised","193.4","165.1","225.2",NA
2022,"Females","All ages","Local Authority Unitary Authories (LAUA)","E07000149","South Norfolk","Breast","147","Non-standardised","198.3","167.5","233",NA
2022,"Females","All ages","Local Authority Unitary Authories (LAUA)","E07000149","South Norfolk","Breast","147","Age-standardised","172.6","145.5","203.2",NA
2022,"Females","All ages","Local Authority Unitary Authories (LAUA)","E06000033","Southend-on-Sea","Breast","187","Non-standardised","201.7","173.8","232.8",NA
2022,"Females","All ages","Local Authority Unitary Authories (LAUA)","E06000033","Southend-on-Sea","Breast","187","Age-standardised","192.9","166.1","222.8",NA
2022,"Females","All ages","Local Authority Unitary Authories (LAUA)","E07000240","St Albans","Breast","151","Non-standardised","198.7","168.3","233.1",NA
2022,"Females","All ages","Local Authority Unitary Authories (LAUA)","E07000240","St Albans","Breast","151","Age-standardised","203.7","172.3","239.1",NA
2022,"Females","All ages","Local Authority Unitary Authories (LAUA)","E07000243","Stevenage","Breast","58","Non-standardised","128","97.2","165.4",NA
2022,"Females","All ages","Local Authority Unitary Authories (LAUA)","E07000243","Stevenage","Breast","58","Age-standardised","134.6","102","174.3",NA
2022,"Females","All ages","Local Authority Unitary Authories (LAUA)","E07000076","Tendring","Breast","169","Non-standardised","215.4","184.2","250.5",NA
2022,"Females","All ages","Local Authority Unitary Authories (LAUA)","E07000076","Tendring","Breast","169","Age-standardised","167.7","142.3","196.2",NA
2022,"Females","All ages","Local Authority Unitary Authories (LAUA)","E07000102","Three Rivers","Breast","118","Non-standardised","244.1","202","292.3",NA
2022,"Females","All ages","Local Authority Unitary Authories (LAUA)","E07000102","Three Rivers","Breast","118","Age-standardised","243.1","201.1","291.3",NA
2022,"Females","All ages","Local Authority Unitary Authories (LAUA)","E06000034","Thurrock","Breast","133","Non-standardised","147.5","123.5","174.8",NA
2022,"Females","All ages","Local Authority Unitary Authories (LAUA)","E06000034","Thurrock","Breast","133","Age-standardised","173","144.5","205.3",NA
2022,"Females","All ages","Local Authority Unitary Authories (LAUA)","E07000077","Uttlesford","Breast","132","Non-standardised","279.2","233.6","331.1",NA
2022,"Females","All ages","Local Authority Unitary Authories (LAUA)","E07000077","Uttlesford","Breast","132","Age-standardised","260.5","217.7","309.1",NA
2022,"Females","All ages","Local Authority Unitary Authories (LAUA)","E07000103","Watford","Breast","89","Non-standardised","169.8","136.3","208.9",NA
2022,"Females","All ages","Local Authority Unitary Authories (LAUA)","E07000103","Watford","Breast","89","Age-standardised","204.3","163.4","252.2",NA
2022,"Females","All ages","Local Authority Unitary Authories (LAUA)","E07000241","Welwyn Hatfield","Breast","109","Non-standardised","178.3","146.4","215.1",NA
2022,"Females","All ages","Local Authority Unitary Authories (LAUA)","E07000241","Welwyn Hatfield","Breast","109","Age-standardised","189.6","155.5","229.1",NA
2022,"Females","All ages","Local Authority Unitary Authories (LAUA)","E07000245","West Suffolk","Breast","165","Non-standardised","181.3","154.7","211.1",NA
2022,"Females","All ages","Local Authority Unitary Authories (LAUA)","E07000245","West Suffolk","Breast","165","Age-standardised","170.7","145.5","199",NA
