"Year","Gender","Age at diagnosis","Geography type","Geography code","Geography name ","NDRS main","Count","Type of rate","Rate","95% lower confidence interval","95% upper confidence interval","Flag"
2022,"Females","00 to 24","Local Authority Unitary Authories (LAUA)","E07000200","Babergh","Breast","1","Age-specific","[u]","[u]","[u]","[note2]"
2022,"Females","25 to 49","Local Authority Unitary Authories (LAUA)","E07000200","Babergh","Breast","19","Age-specific","147.3","88.6","230",NA
2022,"Females","50 to 59","Local Authority Unitary Authories (LAUA)","E07000200","Babergh","Breast","20","Age-specific","271.7","165.9","419.6",NA
2022,"Females","60 to 69","Local Authority Unitary Authories (LAUA)","E07000200","Babergh","Breast","27","Age-specific","406.4","267.8","591.4",NA
2022,"Females","70 to 79","Local Authority Unitary Authories (LAUA)","E07000200","Babergh","Breast","25","Age-specific","387.4","250.6","571.9",NA
2022,"Females","80 and over","Local Authority Unitary Authories (LAUA)","E07000200","Babergh","Breast","20","Age-specific","500.4","305.5","772.8",NA
2022,"Females","00 to 24","Local Authority Unitary Authories (LAUA)","E07000066","Basildon","Breast","1","Age-specific","[u]","[u]","[u]","[note2]"
2022,"Females","25 to 49","Local Authority Unitary Authories (LAUA)","E07000066","Basildon","Breast","21","Age-specific","63.6","39.4","97.3",NA
2022,"Females","50 to 59","Local Authority Unitary Authories (LAUA)","E07000066","Basildon","Breast","34","Age-specific","265.7","184","371.3",NA
2022,"Females","60 to 69","Local Authority Unitary Authories (LAUA)","E07000066","Basildon","Breast","21","Age-specific","210.3","130.1","321.4",NA
2022,"Females","70 to 79","Local Authority Unitary Authories (LAUA)","E07000066","Basildon","Breast","36","Age-specific","436.9","306","604.9",NA
2022,"Females","80 and over","Local Authority Unitary Authories (LAUA)","E07000066","Basildon","Breast","22","Age-specific","421.8","264.2","638.6",NA
2022,"Females","00 to 24","Local Authority Unitary Authories (LAUA)","E06000055","Bedford","Breast","1","Age-specific","[u]","[u]","[u]","[note2]"
2022,"Females","25 to 49","Local Authority Unitary Authories (LAUA)","E06000055","Bedford","Breast","27","Age-specific","81.5","53.7","118.6",NA
2022,"Females","50 to 59","Local Authority Unitary Authories (LAUA)","E06000055","Bedford","Breast","27","Age-specific","213.5","140.7","310.7",NA
2022,"Females","60 to 69","Local Authority Unitary Authories (LAUA)","E06000055","Bedford","Breast","44","Age-specific","452.8","329","607.9",NA
2022,"Females","70 to 79","Local Authority Unitary Authories (LAUA)","E06000055","Bedford","Breast","40","Age-specific","512.8","366.3","698.3",NA
2022,"Females","80 and over","Local Authority Unitary Authories (LAUA)","E06000055","Bedford","Breast","21","Age-specific","407.6","252.2","623.1",NA
2022,"Females","00 to 24","Local Authority Unitary Authories (LAUA)","E07000067","Braintree","Breast","0","Age-specific","[u]","[u]","[u]","[note2]"
2022,"Females","25 to 49","Local Authority Unitary Authories (LAUA)","E07000067","Braintree","Breast","20","Age-specific","78.3","47.8","121",NA
2022,"Females","50 to 59","Local Authority Unitary Authories (LAUA)","E07000067","Braintree","Breast","31","Age-specific","262.1","178.1","372.1",NA
2022,"Females","60 to 69","Local Authority Unitary Authories (LAUA)","E07000067","Braintree","Breast","30","Age-specific","325.3","219.4","464.4",NA
2022,"Females","70 to 79","Local Authority Unitary Authories (LAUA)","E07000067","Braintree","Breast","32","Age-specific","383","261.9","540.7",NA
2022,"Females","80 and over","Local Authority Unitary Authories (LAUA)","E07000067","Braintree","Breast","17","Age-specific","345.3","201","552.9",NA
2022,"Females","00 to 24","Local Authority Unitary Authories (LAUA)","E07000143","Breckland","Breast","0","Age-specific","[u]","[u]","[u]","[note2]"
2022,"Females","25 to 49","Local Authority Unitary Authories (LAUA)","E07000143","Breckland","Breast","19","Age-specific","92.8","55.8","144.9",NA
2022,"Females","50 to 59","Local Authority Unitary Authories (LAUA)","E07000143","Breckland","Breast","31","Age-specific","293.6","199.4","416.7",NA
2022,"Females","60 to 69","Local Authority Unitary Authories (LAUA)","E07000143","Breckland","Breast","42","Age-specific","436.3","314.4","589.8",NA
2022,"Females","70 to 79","Local Authority Unitary Authories (LAUA)","E07000143","Breckland","Breast","39","Age-specific","431","306.4","589.2",NA
2022,"Females","80 and over","Local Authority Unitary Authories (LAUA)","E07000143","Breckland","Breast","31","Age-specific","553.9","376.3","786.2",NA
2022,"Females","00 to 24","Local Authority Unitary Authories (LAUA)","E07000068","Brentwood","Breast","0","Age-specific","[u]","[u]","[u]","[note2]"
2022,"Females","25 to 49","Local Authority Unitary Authories (LAUA)","E07000068","Brentwood","Breast","17","Age-specific","132","76.8","211.4",NA
2022,"Females","50 to 59","Local Authority Unitary Authories (LAUA)","E07000068","Brentwood","Breast","24","Age-specific","431.3","276.2","641.7",NA
2022,"Females","60 to 69","Local Authority Unitary Authories (LAUA)","E07000068","Brentwood","Breast","9","Age-specific","203.3","93","386",NA
2022,"Females","70 to 79","Local Authority Unitary Authories (LAUA)","E07000068","Brentwood","Breast","17","Age-specific","454.5","264.6","727.8",NA
2022,"Females","80 and over","Local Authority Unitary Authories (LAUA)","E07000068","Brentwood","Breast","7","Age-specific","237.9","95.7","490.2",NA
2022,"Females","00 to 24","Local Authority Unitary Authories (LAUA)","E07000144","Broadland","Breast","0","Age-specific","[u]","[u]","[u]","[note2]"
2022,"Females","25 to 49","Local Authority Unitary Authories (LAUA)","E07000144","Broadland","Breast","13","Age-specific","67.2","35.7","114.9",NA
2022,"Females","50 to 59","Local Authority Unitary Authories (LAUA)","E07000144","Broadland","Breast","33","Age-specific","323","222.3","453.6",NA
2022,"Females","60 to 69","Local Authority Unitary Authories (LAUA)","E07000144","Broadland","Breast","28","Age-specific","309.4","205.5","447.2",NA
2022,"Females","70 to 79","Local Authority Unitary Authories (LAUA)","E07000144","Broadland","Breast","27","Age-specific","311.6","205.3","453.4",NA
2022,"Females","80 and over","Local Authority Unitary Authories (LAUA)","E07000144","Broadland","Breast","24","Age-specific","419.1","268.4","623.6",NA
2022,"Females","00 to 24","Local Authority Unitary Authories (LAUA)","E07000095","Broxbourne","Breast","0","Age-specific","[u]","[u]","[u]","[note2]"
2022,"Females","25 to 49","Local Authority Unitary Authories (LAUA)","E07000095","Broxbourne","Breast","8","Age-specific","46.2","19.9","91",NA
2022,"Females","50 to 59","Local Authority Unitary Authories (LAUA)","E07000095","Broxbourne","Breast","11","Age-specific","153.2","76.4","274.2",NA
2022,"Females","60 to 69","Local Authority Unitary Authories (LAUA)","E07000095","Broxbourne","Breast","22","Age-specific","425.6","266.6","644.4",NA
2022,"Females","70 to 79","Local Authority Unitary Authories (LAUA)","E07000095","Broxbourne","Breast","15","Age-specific","348","194.6","574.1",NA
2022,"Females","80 and over","Local Authority Unitary Authories (LAUA)","E07000095","Broxbourne","Breast","13","Age-specific","428.2","227.8","732.3",NA
2022,"Females","00 to 24","Local Authority Unitary Authories (LAUA)","E07000008","Cambridge","Breast","2","Age-specific","[u]","[u]","[u]","[note2]"
2022,"Females","25 to 49","Local Authority Unitary Authories (LAUA)","E07000008","Cambridge","Breast","19","Age-specific","67.5","40.6","105.5",NA
2022,"Females","50 to 59","Local Authority Unitary Authories (LAUA)","E07000008","Cambridge","Breast","24","Age-specific","317.8","203.5","472.8",NA
2022,"Females","60 to 69","Local Authority Unitary Authories (LAUA)","E07000008","Cambridge","Breast","18","Age-specific","353.1","209.2","558",NA
2022,"Females","70 to 79","Local Authority Unitary Authories (LAUA)","E07000008","Cambridge","Breast","8","Age-specific","201.6","87","397.2",NA
2022,"Females","80 and over","Local Authority Unitary Authories (LAUA)","E07000008","Cambridge","Breast","29","Age-specific","1021.5","684","1467.1",NA
2022,"Females","00 to 24","Local Authority Unitary Authories (LAUA)","E07000069","Castle Point","Breast","0","Age-specific","[u]","[u]","[u]","[note2]"
2022,"Females","25 to 49","Local Authority Unitary Authories (LAUA)","E07000069","Castle Point","Breast","11","Age-specific","85.7","42.7","153.4",NA
2022,"Females","50 to 59","Local Authority Unitary Authories (LAUA)","E07000069","Castle Point","Breast","16","Age-specific","245.8","140.4","399.2",NA
2022,"Females","60 to 69","Local Authority Unitary Authories (LAUA)","E07000069","Castle Point","Breast","18","Age-specific","318.4","188.6","503.3",NA
2022,"Females","70 to 79","Local Authority Unitary Authories (LAUA)","E07000069","Castle Point","Breast","24","Age-specific","392.9","251.6","584.6",NA
2022,"Females","80 and over","Local Authority Unitary Authories (LAUA)","E07000069","Castle Point","Breast","23","Age-specific","599.1","379.7","899",NA
2022,"Females","00 to 24","Local Authority Unitary Authories (LAUA)","E06000056","Central Bedfordshire","Breast","0","Age-specific","[u]","[u]","[u]","[note2]"
2022,"Females","25 to 49","Local Authority Unitary Authories (LAUA)","E06000056","Central Bedfordshire","Breast","43","Age-specific","82.3","59.6","110.9",NA
2022,"Females","50 to 59","Local Authority Unitary Authories (LAUA)","E06000056","Central Bedfordshire","Breast","48","Age-specific","226.2","166.8","299.9",NA
2022,"Females","60 to 69","Local Authority Unitary Authories (LAUA)","E06000056","Central Bedfordshire","Breast","52","Age-specific","307.1","229.3","402.7",NA
2022,"Females","70 to 79","Local Authority Unitary Authories (LAUA)","E06000056","Central Bedfordshire","Breast","55","Age-specific","400.2","301.5","520.9",NA
2022,"Females","80 and over","Local Authority Unitary Authories (LAUA)","E06000056","Central Bedfordshire","Breast","54","Age-specific","688.2","517","898",NA
2022,"Females","00 to 24","Local Authority Unitary Authories (LAUA)","E07000070","Chelmsford","Breast","0","Age-specific","[u]","[u]","[u]","[note2]"
2022,"Females","25 to 49","Local Authority Unitary Authories (LAUA)","E07000070","Chelmsford","Breast","27","Age-specific","86.4","56.9","125.7",NA
2022,"Females","50 to 59","Local Authority Unitary Authories (LAUA)","E07000070","Chelmsford","Breast","31","Age-specific","247","167.8","350.7",NA
2022,"Females","60 to 69","Local Authority Unitary Authories (LAUA)","E07000070","Chelmsford","Breast","48","Age-specific","483.2","356.2","640.7",NA
2022,"Females","70 to 79","Local Authority Unitary Authories (LAUA)","E07000070","Chelmsford","Breast","38","Age-specific","424.8","300.6","583.1",NA
2022,"Females","80 and over","Local Authority Unitary Authories (LAUA)","E07000070","Chelmsford","Breast","25","Age-specific","431","278.9","636.3",NA
2022,"Females","00 to 24","Local Authority Unitary Authories (LAUA)","E07000071","Colchester","Breast","0","Age-specific","[u]","[u]","[u]","[note2]"
2022,"Females","25 to 49","Local Authority Unitary Authories (LAUA)","E07000071","Colchester","Breast","21","Age-specific","63.3","39.2","96.8",NA
2022,"Females","50 to 59","Local Authority Unitary Authories (LAUA)","E07000071","Colchester","Breast","35","Age-specific","271.1","188.8","377.1",NA
2022,"Females","60 to 69","Local Authority Unitary Authories (LAUA)","E07000071","Colchester","Breast","33","Age-specific","336","231.3","471.9",NA
2022,"Females","70 to 79","Local Authority Unitary Authories (LAUA)","E07000071","Colchester","Breast","36","Age-specific","401.7","281.3","556.1",NA
2022,"Females","80 and over","Local Authority Unitary Authories (LAUA)","E07000071","Colchester","Breast","22","Age-specific","399.1","250","604.2",NA
2022,"Females","00 to 24","Local Authority Unitary Authories (LAUA)","E07000096","Dacorum","Breast","0","Age-specific","[u]","[u]","[u]","[note2]"
2022,"Females","25 to 49","Local Authority Unitary Authories (LAUA)","E07000096","Dacorum","Breast","29","Age-specific","107.5","72","154.4",NA
2022,"Females","50 to 59","Local Authority Unitary Authories (LAUA)","E07000096","Dacorum","Breast","43","Age-specific","395.3","286","532.4",NA
2022,"Females","60 to 69","Local Authority Unitary Authories (LAUA)","E07000096","Dacorum","Breast","48","Age-specific","556.7","410.4","738.1",NA
2022,"Females","70 to 79","Local Authority Unitary Authories (LAUA)","E07000096","Dacorum","Breast","30","Age-specific","454.1","306.3","648.2",NA
2022,"Females","80 and over","Local Authority Unitary Authories (LAUA)","E07000096","Dacorum","Breast","14","Age-specific","301.1","164.5","505.2",NA
