fid,Year,Geography code,Geography name,Cancer Type,Age 00 to 24,Age 25 to 49,Age 50 to 59,Age 60 to 69,Age 70 to 79,Age 80 and over,Total Incidence,ICB
29,2018,E06000031,Peterborough,Bladder,0,2,7,10,25,22,132,Central East
29,2018,E06000031,Peterborough,Blood cancer,6,12,9,26,25,23,202,Central East
29,2018,E06000031,Peterborough,Bowel,0,7,13,21,35,29,210,Central East
29,2018,E06000031,Peterborough,Brain,4,9,4,3,4,5,58,Central East
29,2018,E06000031,Peterborough,Head and neck,1,4,6,12,8,4,70,Central East
29,2018,E06000031,Peterborough,Kidney,1,3,6,8,7,7,64,Central East
29,2018,E06000031,Peterborough,Liver and biliary tract,0,0,5,4,1,7,34,Central East
29,2018,E06000031,Peterborough,Lung,0,6,17,23,30,35,222,Central East
29,2018,E06000031,Peterborough,Pancreas,0,0,2,6,9,6,46,Central East
29,2018,E06000031,Peterborough,Skin cancer,0,38,44,79,181,193,1070,Central East
30,2018,E06000032,Luton,Bladder,0,1,6,7,15,15,88,Central East
30,2018,E06000032,Luton,Blood cancer,6,17,23,17,33,23,238,Central East
30,2018,E06000032,Luton,Bowel,0,9,16,20,26,33,208,Central East
30,2018,E06000032,Luton,Brain,1,8,9,5,5,1,58,Central East
30,2018,E06000032,Luton,Head and neck,3,5,4,12,6,5,70,Central East
30,2018,E06000032,Luton,Kidney,1,5,4,5,3,4,44,Central East
30,2018,E06000032,Luton,Liver and biliary tract,0,1,3,7,7,4,44,Central East
30,2018,E06000032,Luton,Lung,0,6,12,26,32,26,204,Central East
30,2018,E06000032,Luton,Pancreas,0,0,2,7,10,5,48,Central East
30,2018,E06000032,Luton,Skin cancer,0,17,39,70,118,168,824,Central East
31,2018,E06000033,Southend-on-Sea,Bladder,0,4,6,15,29,17,142,Essex
31,2018,E06000033,Southend-on-Sea,Blood cancer,10,15,13,29,44,27,276,Essex
31,2018,E06000033,Southend-on-Sea,Bowel,0,9,9,28,32,42,240,Essex
31,2018,E06000033,Southend-on-Sea,Brain,1,7,5,7,6,1,54,Essex
31,2018,E06000033,Southend-on-Sea,Head and neck,0,2,16,5,8,3,68,Essex
31,2018,E06000033,Southend-on-Sea,Kidney,0,4,9,6,5,14,76,Essex
31,2018,E06000033,Southend-on-Sea,Liver and biliary tract,0,1,4,4,12,9,60,Essex
31,2018,E06000033,Southend-on-Sea,Lung,0,3,12,35,60,39,298,Essex
31,2018,E06000033,Southend-on-Sea,Pancreas,0,1,4,13,15,11,88,Essex
31,2018,E06000033,Southend-on-Sea,Skin cancer,2,68,92,155,309,362,1976,Essex
32,2018,E06000034,Thurrock,Bladder,0,1,5,10,16,15,94,Essex
32,2018,E06000034,Thurrock,Blood cancer,9,12,15,21,31,29,234,Essex
32,2018,E06000034,Thurrock,Bowel,1,6,12,22,19,23,166,Essex
32,2018,E06000034,Thurrock,Brain,2,5,5,7,2,1,44,Essex
32,2018,E06000034,Thurrock,Head and neck,1,3,7,6,5,0,44,Essex
32,2018,E06000034,Thurrock,Kidney,0,2,2,7,5,7,46,Essex
32,2018,E06000034,Thurrock,Liver and biliary tract,0,1,3,6,3,2,30,Essex
32,2018,E06000034,Thurrock,Lung,0,3,10,25,49,22,218,Essex
32,2018,E06000034,Thurrock,Pancreas,0,1,1,4,6,2,28,Essex
32,2018,E06000034,Thurrock,Skin cancer,3,57,76,87,194,205,1244,Essex
52,2018,E06000055,Bedford,Bladder,0,1,2,11,18,15,94,Central East
52,2018,E06000055,Bedford,Blood cancer,7,15,14,26,32,25,238,Central East
52,2018,E06000055,Bedford,Bowel,0,2,12,21,30,23,176,Central East
52,2018,E06000055,Bedford,Brain,1,7,6,4,4,11,66,Central East
52,2018,E06000055,Bedford,Head and neck,0,5,8,5,5,3,52,Central East
52,2018,E06000055,Bedford,Kidney,0,2,3,9,9,8,62,Central East
52,2018,E06000055,Bedford,Liver and biliary tract,0,0,2,4,10,5,42,Central East
52,2018,E06000055,Bedford,Lung,0,6,12,25,30,20,186,Central East
52,2018,E06000055,Bedford,Pancreas,0,0,6,4,9,9,56,Central East
52,2018,E06000055,Bedford,Skin cancer,2,38,67,117,229,282,1470,Central East
53,2018,E06000056,Central Bedfordshire,Bladder,0,1,4,22,27,38,184,Central East
53,2018,E06000056,Central Bedfordshire,Blood cancer,6,19,27,44,67,32,390,Central East
53,2018,E06000056,Central Bedfordshire,Bowel,0,6,29,42,53,51,362,Central East
53,2018,E06000056,Central Bedfordshire,Brain,5,14,5,15,11,7,114,Central East
53,2018,E06000056,Central Bedfordshire,Head and neck,0,7,7,9,6,3,64,Central East
53,2018,E06000056,Central Bedfordshire,Kidney,0,0,11,14,11,6,84,Central East
53,2018,E06000056,Central Bedfordshire,Liver and biliary tract,0,1,3,7,10,4,50,Central East
53,2018,E06000056,Central Bedfordshire,Lung,0,5,17,48,50,47,334,Central East
53,2018,E06000056,Central Bedfordshire,Pancreas,0,2,8,10,14,13,94,Central East
53,2018,E06000056,Central Bedfordshire,Skin cancer,3,72,111,241,406,401,2468,Central East
64,2018,E07000008,Cambridge,Bladder,0,0,4,6,10,7,54,Central East
64,2018,E07000008,Cambridge,Blood cancer,0,12,6,13,20,15,132,Central East
64,2018,E07000008,Cambridge,Bowel,0,9,5,18,19,17,136,Central East
64,2018,E07000008,Cambridge,Brain,2,2,2,4,2,4,32,Central East
64,2018,E07000008,Cambridge,Head and neck,0,2,7,3,2,4,36,Central East
64,2018,E07000008,Cambridge,Kidney,0,1,1,2,3,1,16,Central East
64,2018,E07000008,Cambridge,Liver and biliary tract,0,2,1,2,6,5,32,Central East
64,2018,E07000008,Cambridge,Lung,0,4,6,8,19,18,110,Central East
64,2018,E07000008,Cambridge,Pancreas,0,1,3,5,1,3,26,Central East
64,2018,E07000008,Cambridge,Skin cancer,0,35,54,88,131,136,888,Central East
65,2018,E07000009,East Cambridgeshire,Bladder,0,2,3,8,7,19,78,Central East
