"Year","Gender","Age at diagnosis","Geography type","Geography code","Geography name ","Deprivation","Stage","NDRS main","NDRS detailed","Count","Type of rate","Rate","95% lower confidence interval","95% upper confidence interval","Flag"
"2022","Persons","00 to 24","Integrated Care Board","E54000024","NHS Bedfordshire, Luton and Milton Keynes Integrated Care Board","All quintiles","All stages","Bowel","All Bowel","0","Non-standardised","[u]","[u]","[u]","[note2]"
"2022","Persons","00 to 24","Integrated Care Board","E54000024","NHS Bedfordshire, Luton and Milton Keynes Integrated Care Board","All quintiles","All stages","Bowel","Colon","0","Non-standardised","[u]","[u]","[u]","[note2]"
"2022","Persons","00 to 24","Integrated Care Board","E54000024","NHS Bedfordshire, Luton and Milton Keynes Integrated Care Board","All quintiles","All stages","Bowel","Rectosigmoid junction","0","Non-standardised","[u]","[u]","[u]","[note2]"
"2022","Persons","00 to 24","Integrated Care Board","E54000024","NHS Bedfordshire, Luton and Milton Keynes Integrated Care Board","All quintiles","All stages","Bowel","Rectum","0","Non-standardised","[u]","[u]","[u]","[note2]"
"2022","Persons","00 to 24","Integrated Care Board","E54000024","NHS Bedfordshire, Luton and Milton Keynes Integrated Care Board","All quintiles","All stages","Breast","All Breast","1","Non-standardised","[u]","[u]","[u]","[note2]"
"2022","Persons","00 to 24","Integrated Care Board","E54000024","NHS Bedfordshire, Luton and Milton Keynes Integrated Care Board","All quintiles","All stages","Lung","All Lung","0","Non-standardised","[u]","[u]","[u]","[note2]"
"2022","Persons","00 to 24","Integrated Care Board","E54000024","NHS Bedfordshire, Luton and Milton Keynes Integrated Care Board","All quintiles","All stages","Lung","Non-small cell lung cancer","0","Non-standardised","[u]","[u]","[u]","[note2]"
"2022","Persons","00 to 24","Integrated Care Board","E54000024","NHS Bedfordshire, Luton and Milton Keynes Integrated Care Board","All quintiles","All stages","Lung","Small cell lung cancer","0","Non-standardised","[u]","[u]","[u]","[note2]"
"2022","Persons","00 to 24","Integrated Care Board","E54000024","NHS Bedfordshire, Luton and Milton Keynes Integrated Care Board","All quintiles","All stages","Skin cancer","All Skin cancer","2","Non-standardised","[u]","[u]","[u]","[note2]"
"2022","Persons","00 to 24","Integrated Care Board","E54000024","NHS Bedfordshire, Luton and Milton Keynes Integrated Care Board","All quintiles","All stages","Skin cancer","BCC","1","Non-standardised","[u]","[u]","[u]","[note2]"
"2022","Persons","00 to 24","Integrated Care Board","E54000024","NHS Bedfordshire, Luton and Milton Keynes Integrated Care Board","All quintiles","All stages","Skin cancer","Melanoma","0","Non-standardised","[u]","[u]","[u]","[note2]"
"2022","Persons","00 to 24","Integrated Care Board","E54000024","NHS Bedfordshire, Luton and Milton Keynes Integrated Care Board","All quintiles","All stages","Skin cancer","Rare","0","Non-standardised","[u]","[u]","[u]","[note2]"
"2022","Persons","00 to 24","Integrated Care Board","E54000024","NHS Bedfordshire, Luton and Milton Keynes Integrated Care Board","All quintiles","All stages","Skin cancer","cSCC","1","Non-standardised","[u]","[u]","[u]","[note2]"
"2022","Persons","25 to 49","Integrated Care Board","E54000024","NHS Bedfordshire, Luton and Milton Keynes Integrated Care Board","All quintiles","All stages","Bowel","All Bowel","47","Non-standardised","13.1","9.6","17.4",NA
"2022","Persons","25 to 49","Integrated Care Board","E54000024","NHS Bedfordshire, Luton and Milton Keynes Integrated Care Board","All quintiles","All stages","Bowel","Colon","29","Non-standardised","8.1","5.4","11.6",NA
"2022","Persons","25 to 49","Integrated Care Board","E54000024","NHS Bedfordshire, Luton and Milton Keynes Integrated Care Board","All quintiles","All stages","Bowel","Rectosigmoid junction","3","Non-standardised","0.8","0.2","2.4",NA
"2022","Persons","25 to 49","Integrated Care Board","E54000024","NHS Bedfordshire, Luton and Milton Keynes Integrated Care Board","All quintiles","All stages","Bowel","Rectum","15","Non-standardised","4.2","2.3","6.9",NA
"2022","Persons","25 to 49","Integrated Care Board","E54000024","NHS Bedfordshire, Luton and Milton Keynes Integrated Care Board","All quintiles","All stages","Breast","All Breast","141","Non-standardised","39.2","33","46.2",NA
"2022","Persons","25 to 49","Integrated Care Board","E54000024","NHS Bedfordshire, Luton and Milton Keynes Integrated Care Board","All quintiles","All stages","Lung","All Lung","17","Non-standardised","4.7","2.7","7.6",NA
"2022","Persons","25 to 49","Integrated Care Board","E54000024","NHS Bedfordshire, Luton and Milton Keynes Integrated Care Board","All quintiles","All stages","Lung","Non-small cell lung cancer","16","Non-standardised","4.4","2.5","7.2",NA
"2022","Persons","25 to 49","Integrated Care Board","E54000024","NHS Bedfordshire, Luton and Milton Keynes Integrated Care Board","All quintiles","All stages","Lung","Small cell lung cancer","1","Non-standardised","[u]","[u]","[u]","[note2]"
"2022","Persons","25 to 49","Integrated Care Board","E54000024","NHS Bedfordshire, Luton and Milton Keynes Integrated Care Board","All quintiles","All stages","Skin cancer","All Skin cancer","177","Non-standardised","49.2","42.2","57",NA
"2022","Persons","25 to 49","Integrated Care Board","E54000024","NHS Bedfordshire, Luton and Milton Keynes Integrated Care Board","All quintiles","All stages","Skin cancer","BCC","131","Non-standardised","36.4","30.4","43.2",NA
"2022","Persons","25 to 49","Integrated Care Board","E54000024","NHS Bedfordshire, Luton and Milton Keynes Integrated Care Board","All quintiles","All stages","Skin cancer","Melanoma","29","Non-standardised","8.1","5.4","11.6",NA
"2022","Persons","25 to 49","Integrated Care Board","E54000024","NHS Bedfordshire, Luton and Milton Keynes Integrated Care Board","All quintiles","All stages","Skin cancer","Rare","3","Non-standardised","0.8","0.2","2.4",NA
"2022","Persons","25 to 49","Integrated Care Board","E54000024","NHS Bedfordshire, Luton and Milton Keynes Integrated Care Board","All quintiles","All stages","Skin cancer","cSCC","14","Non-standardised","3.9","2.1","6.5",NA
"2022","Persons","50 to 59","Integrated Care Board","E54000024","NHS Bedfordshire, Luton and Milton Keynes Integrated Care Board","All quintiles","All stages","Bowel","All Bowel","90","Non-standardised","68.5","55.1","84.2",NA
"2022","Persons","50 to 59","Integrated Care Board","E54000024","NHS Bedfordshire, Luton and Milton Keynes Integrated Care Board","All quintiles","All stages","Bowel","Colon","52","Non-standardised","39.6","29.6","51.9",NA
"2022","Persons","50 to 59","Integrated Care Board","E54000024","NHS Bedfordshire, Luton and Milton Keynes Integrated Care Board","All quintiles","All stages","Bowel","Rectosigmoid junction","7","Non-standardised","5.3","2.1","11",NA
"2022","Persons","50 to 59","Integrated Care Board","E54000024","NHS Bedfordshire, Luton and Milton Keynes Integrated Care Board","All quintiles","All stages","Bowel","Rectum","31","Non-standardised","23.6","16","33.5",NA
"2022","Persons","50 to 59","Integrated Care Board","E54000024","NHS Bedfordshire, Luton and Milton Keynes Integrated Care Board","All quintiles","All stages","Breast","All Breast","166","Non-standardised","126.3","107.8","147.1",NA
"2022","Persons","50 to 59","Integrated Care Board","E54000024","NHS Bedfordshire, Luton and Milton Keynes Integrated Care Board","All quintiles","All stages","Lung","All Lung","50","Non-standardised","38.1","28.2","50.2",NA
"2022","Persons","50 to 59","Integrated Care Board","E54000024","NHS Bedfordshire, Luton and Milton Keynes Integrated Care Board","All quintiles","All stages","Lung","Non-small cell lung cancer","42","Non-standardised","32","23","43.2",NA
"2022","Persons","50 to 59","Integrated Care Board","E54000024","NHS Bedfordshire, Luton and Milton Keynes Integrated Care Board","All quintiles","All stages","Lung","Small cell lung cancer","8","Non-standardised","6.1","2.6","12",NA
"2022","Persons","50 to 59","Integrated Care Board","E54000024","NHS Bedfordshire, Luton and Milton Keynes Integrated Care Board","All quintiles","All stages","Skin cancer","All Skin cancer","326","Non-standardised","248.1","221.9","276.5",NA
"2022","Persons","50 to 59","Integrated Care Board","E54000024","NHS Bedfordshire, Luton and Milton Keynes Integrated Care Board","All quintiles","All stages","Skin cancer","BCC","239","Non-standardised","181.9","159.6","206.5",NA
"2022","Persons","50 to 59","Integrated Care Board","E54000024","NHS Bedfordshire, Luton and Milton Keynes Integrated Care Board","All quintiles","All stages","Skin cancer","Melanoma","41","Non-standardised","31.2","22.4","42.3",NA
"2022","Persons","50 to 59","Integrated Care Board","E54000024","NHS Bedfordshire, Luton and Milton Keynes Integrated Care Board","All quintiles","All stages","Skin cancer","Rare","5","Non-standardised","3.8","1.2","8.9",NA
"2022","Persons","50 to 59","Integrated Care Board","E54000024","NHS Bedfordshire, Luton and Milton Keynes Integrated Care Board","All quintiles","All stages","Skin cancer","cSCC","41","Non-standardised","31.2","22.4","42.3",NA
"2022","Persons","60 to 69","Integrated Care Board","E54000024","NHS Bedfordshire, Luton and Milton Keynes Integrated Care Board","All quintiles","All stages","Bowel","All Bowel","113","Non-standardised","114.4","94.3","137.6",NA
"2022","Persons","60 to 69","Integrated Care Board","E54000024","NHS Bedfordshire, Luton and Milton Keynes Integrated Care Board","All quintiles","All stages","Bowel","Colon","72","Non-standardised","72.9","57","91.8",NA
"2022","Persons","60 to 69","Integrated Care Board","E54000024","NHS Bedfordshire, Luton and Milton Keynes Integrated Care Board","All quintiles","All stages","Bowel","Rectosigmoid junction","6","Non-standardised","6.1","2.2","13.2",NA
