fid,District Code,District Name,Overall IMD Rank,Income Rank,Employment Rank,Education Skills and Training Rank,Health Deprivation and Disability Rank,Crime Rank,Barriers to Housing and Services Rank,Living Environment Rank,Income Deprivation Affecting Children Index (IDACI) Rank,Income Deprivation Affecting Older People (IDAOPI) Rank
29,E06000031,Peterborough,51,38,62,28,86,57,49,251,39,65
66,E07000010,Fenland,42,76,51,1,62,120,38,244,67,88
67,E07000011,Huntingdonshire,249,235,235,191,245,228,131,285,241,247
52,E06000055,Bedford,141,128,158,126,125,152,93,182,135,177
68,E07000012,South Cambridgeshire,281,277,280,288,286,279,45,267,281,263
53,E06000056,Central Bedfordshire,230,215,241,159,217,207,105,270,216,221
122,E07000099,North Hertfordshire,256,230,238,248,249,241,233,234,247,203
30,E06000032,Luton,33,8,61,16,87,99,16,98,8,39
120,E07000096,Dacorum,211,178,210,183,220,198,188,249,192,168
124,E07000103,Watford,175,111,194,201,194,144,174,95,134,103
225,E07000243,Stevenage,125,83,105,69,105,97,171,284,101,61
222,E07000240,St Albans,288,269,272,292,274,260,285,213,283,278
121,E07000098,Hertsmere,214,164,187,225,205,168,198,184,200,160
223,E07000241,Welwyn Hatfield,208,157,198,190,190,160,199,281,164,136
119,E07000095,Broxbourne,152,106,135,82,221,137,103,175,121,130
123,E07000102,Three Rivers,275,257,258,265,267,248,201,248,268,229
166,E07000146,King's Lynn and West Norfolk,69,135,101,12,73,216,47,96,130,146
65,E07000009,East Cambridgeshire,242,239,254,224,247,261,71,203,257,184
64,E07000008,Cambridge,255,260,279,270,237,126,263,97,214,124
101,E07000077,Uttlesford,269,278,291,259,294,237,79,146,282,244
96,E07000072,Epping Forest,205,199,218,145,269,98,204,87,222,150
97,E07000073,Harlow,92,45,71,35,144,26,163,290,78,38
224,E07000242,East Hertfordshire,276,265,276,262,287,256,175,194,273,241
92,E07000068,Brentwood,262,266,252,260,264,162,167,200,274,249
32,E06000034,Thurrock,114,91,131,67,147,72,66,183,117,83
163,E07000143,Breckland,112,143,151,37,165,215,26,165,128,157
167,E07000147,North Norfolk,89,134,95,32,139,265,33,49,96,174
164,E07000144,Broadland,240,242,220,130,244,278,108,268,245,259
168,E07000148,Norwich,64,66,87,53,66,37,230,126,41,34
165,E07000145,Great Yarmouth,25,40,13,3,52,88,100,79,30,63
169,E07000149,South Norfolk,220,229,215,187,248,275,76,151,248,226
227,E07000245,West Suffolk,172,208,226,93,199,200,73,193,204,187
94,E07000070,Chelmsford,233,236,232,230,234,140,168,231,233,258
99,E07000075,Rochford,260,262,248,161,243,238,159,272,255,253
192,E07000203,Mid Suffolk,191,251,243,175,235,290,18,101,236,250
91,E07000067,Braintree,164,163,176,101,179,148,88,215,162,149
95,E07000071,Colchester,168,165,175,171,131,114,132,225,161,212
190,E07000200,Babergh,184,209,217,144,240,258,30,117,190,233
100,E07000076,Tendring,28,69,28,4,34,102,11,134,46,91
98,E07000074,Maldon,171,204,200,85,211,219,63,131,193,204
191,E07000202,Ipswich,84,68,75,25,74,77,214,132,70,101
90,E07000066,Basildon,120,107,113,59,121,84,106,277,115,104
93,E07000069,Castle Point,162,186,161,45,156,150,97,196,175,172
31,E06000033,Southend-on-Sea,113,99,88,115,96,71,239,52,118,97
226,E07000244,East Suffolk,138,162,133,91,133,234,99,159,140,195
