"Year","Gender","Age at diagnosis","Geography type","Geography code","Geography name ","NDRS main","Count","Type of rate","Rate","95% lower confidence interval","95% upper confidence interval","Flag"
2022,"Persons","All ages","Local Authority Unitary Authories (LAUA)","E07000200","Babergh","Lung","75","Non-standardised","79.5","62.6","99.7",NA
2022,"Persons","All ages","Local Authority Unitary Authories (LAUA)","E07000200","Babergh","Lung","75","Age-gender-standardised","58.5","45.9","73.4",NA
2022,"Persons","All ages","Local Authority Unitary Authories (LAUA)","E07000066","Basildon","Lung","145","Non-standardised","76.8","64.8","90.4",NA
2022,"Persons","All ages","Local Authority Unitary Authories (LAUA)","E07000066","Basildon","Lung","145","Age-gender-standardised","85.3","71.8","100.6",NA
2022,"Persons","All ages","Local Authority Unitary Authories (LAUA)","E06000055","Bedford","Lung","128","Non-standardised","68.3","57","81.2",NA
2022,"Persons","All ages","Local Authority Unitary Authories (LAUA)","E06000055","Bedford","Lung","128","Age-gender-standardised","76.7","63.9","91.2",NA
2022,"Persons","All ages","Local Authority Unitary Authories (LAUA)","E07000067","Braintree","Lung","88","Non-standardised","55.8","44.8","68.8",NA
2022,"Persons","All ages","Local Authority Unitary Authories (LAUA)","E07000067","Braintree","Lung","88","Age-gender-standardised","52.6","42.1","64.9",NA
2022,"Persons","All ages","Local Authority Unitary Authories (LAUA)","E07000143","Breckland","Lung","129","Non-standardised","89.9","75.1","106.8",NA
2022,"Persons","All ages","Local Authority Unitary Authories (LAUA)","E07000143","Breckland","Lung","129","Age-gender-standardised","72","60","85.6",NA
2022,"Persons","All ages","Local Authority Unitary Authories (LAUA)","E07000068","Brentwood","Lung","41","Non-standardised","53","38","71.9",NA
2022,"Persons","All ages","Local Authority Unitary Authories (LAUA)","E07000068","Brentwood","Lung","41","Age-gender-standardised","51.1","36.5","69.4",NA
2022,"Persons","All ages","Local Authority Unitary Authories (LAUA)","E07000144","Broadland","Lung","101","Non-standardised","75.4","61.4","91.7",NA
2022,"Persons","All ages","Local Authority Unitary Authories (LAUA)","E07000144","Broadland","Lung","101","Age-gender-standardised","56.7","46.1","69.1",NA
2022,"Persons","All ages","Local Authority Unitary Authories (LAUA)","E07000095","Broxbourne","Lung","52","Non-standardised","52.5","39.2","68.9",NA
2022,"Persons","All ages","Local Authority Unitary Authories (LAUA)","E07000095","Broxbourne","Lung","52","Age-gender-standardised","57.4","42.8","75.4",NA
2022,"Persons","All ages","Local Authority Unitary Authories (LAUA)","E07000008","Cambridge","Lung","77","Non-standardised","52.1","41.1","65.1",NA
2022,"Persons","All ages","Local Authority Unitary Authories (LAUA)","E07000008","Cambridge","Lung","77","Age-gender-standardised","83.1","65.4","104.1",NA
2022,"Persons","All ages","Local Authority Unitary Authories (LAUA)","E07000069","Castle Point","Lung","83","Non-standardised","92.5","73.7","114.7",NA
2022,"Persons","All ages","Local Authority Unitary Authories (LAUA)","E07000069","Castle Point","Lung","83","Age-gender-standardised","70.2","55.7","87.3",NA
2022,"Persons","All ages","Local Authority Unitary Authories (LAUA)","E06000056","Central Bedfordshire","Lung","175","Non-standardised","58","49.7","67.2",NA
2022,"Persons","All ages","Local Authority Unitary Authories (LAUA)","E06000056","Central Bedfordshire","Lung","175","Age-gender-standardised","61.3","52.5","71.2",NA
2022,"Persons","All ages","Local Authority Unitary Authories (LAUA)","E07000070","Chelmsford","Lung","109","Non-standardised","59.4","48.8","71.7",NA
2022,"Persons","All ages","Local Authority Unitary Authories (LAUA)","E07000070","Chelmsford","Lung","109","Age-gender-standardised","59.5","48.8","71.8",NA
2022,"Persons","All ages","Local Authority Unitary Authories (LAUA)","E07000071","Colchester","Lung","118","Non-standardised","60.6","50.2","72.6",NA
2022,"Persons","All ages","Local Authority Unitary Authories (LAUA)","E07000071","Colchester","Lung","118","Age-gender-standardised","65.1","53.8","78.1",NA
2022,"Persons","All ages","Local Authority Unitary Authories (LAUA)","E07000096","Dacorum","Lung","98","Non-standardised","62.8","50.9","76.5",NA
2022,"Persons","All ages","Local Authority Unitary Authories (LAUA)","E07000096","Dacorum","Lung","98","Age-gender-standardised","67.5","54.7","82.3",NA
2022,"Persons","All ages","Local Authority Unitary Authories (LAUA)","E07000009","East Cambridgeshire","Lung","53","Non-standardised","59.3","44.4","77.5",NA
2022,"Persons","All ages","Local Authority Unitary Authories (LAUA)","E07000009","East Cambridgeshire","Lung","53","Age-gender-standardised","55","41.2","72",NA
2022,"Persons","All ages","Local Authority Unitary Authories (LAUA)","E07000242","East Hertfordshire","Lung","78","Non-standardised","51.4","40.6","64.2",NA
2022,"Persons","All ages","Local Authority Unitary Authories (LAUA)","E07000242","East Hertfordshire","Lung","78","Age-gender-standardised","52.8","41.6","65.9",NA
2022,"Persons","All ages","Local Authority Unitary Authories (LAUA)","E07000244","East Suffolk","Lung","199","Non-standardised","80.5","69.7","92.5",NA
2022,"Persons","All ages","Local Authority Unitary Authories (LAUA)","E07000244","East Suffolk","Lung","199","Age-gender-standardised","57.5","49.7","66.2",NA
2022,"Persons","All ages","Local Authority Unitary Authories (LAUA)","E07000072","Epping Forest","Lung","95","Non-standardised","70.4","56.9","86",NA
2022,"Persons","All ages","Local Authority Unitary Authories (LAUA)","E07000072","Epping Forest","Lung","95","Age-gender-standardised","67.9","54.9","83.1",NA
2022,"Persons","All ages","Local Authority Unitary Authories (LAUA)","E07000010","Fenland","Lung","100","Non-standardised","97.1","79","118.1",NA
2022,"Persons","All ages","Local Authority Unitary Authories (LAUA)","E07000010","Fenland","Lung","100","Age-gender-standardised","84.1","68.3","102.4",NA
2022,"Persons","All ages","Local Authority Unitary Authories (LAUA)","E07000145","Great Yarmouth","Lung","130","Non-standardised","130.2","108.8","154.6",NA
2022,"Persons","All ages","Local Authority Unitary Authories (LAUA)","E07000145","Great Yarmouth","Lung","130","Age-gender-standardised","109","90.9","129.6",NA
