"Year","Gender","Age at diagnosis","Geography type","Geography code","Geography name ","NDRS main","Count","Type of rate","Rate","95% lower confidence interval","95% upper confidence interval","Flag"
2022,"Persons","00 to 24","Local Authority Unitary Authories (LAUA)","E07000200","Babergh","Lung","0","Age-specific","[u]","[u]","[u]","[note2]"
2022,"Persons","25 to 49","Local Authority Unitary Authories (LAUA)","E07000200","Babergh","Lung","0","Age-specific","[u]","[u]","[u]","[note2]"
2022,"Persons","50 to 59","Local Authority Unitary Authories (LAUA)","E07000200","Babergh","Lung","4","Age-specific","28.2","7.7","72.3",NA
2022,"Persons","60 to 69","Local Authority Unitary Authories (LAUA)","E07000200","Babergh","Lung","14","Age-specific","109.5","59.8","183.7",NA
2022,"Persons","70 to 79","Local Authority Unitary Authories (LAUA)","E07000200","Babergh","Lung","38","Age-specific","309.1","218.7","424.2",NA
2022,"Persons","80 and over","Local Authority Unitary Authories (LAUA)","E07000200","Babergh","Lung","19","Age-specific","269.7","162.3","421.2",NA
2022,"Persons","00 to 24","Local Authority Unitary Authories (LAUA)","E07000066","Basildon","Lung","1","Age-specific","[u]","[u]","[u]","[note2]"
2022,"Persons","25 to 49","Local Authority Unitary Authories (LAUA)","E07000066","Basildon","Lung","4","Age-specific","6.3","1.7","16.1",NA
2022,"Persons","50 to 59","Local Authority Unitary Authories (LAUA)","E07000066","Basildon","Lung","14","Age-specific","55.7","30.4","93.5",NA
2022,"Persons","60 to 69","Local Authority Unitary Authories (LAUA)","E07000066","Basildon","Lung","29","Age-specific","150.3","100.6","215.8",NA
2022,"Persons","70 to 79","Local Authority Unitary Authories (LAUA)","E07000066","Basildon","Lung","42","Age-specific","277.1","199.7","374.5",NA
2022,"Persons","80 and over","Local Authority Unitary Authories (LAUA)","E07000066","Basildon","Lung","55","Age-specific","639.5","481.7","832.4",NA
2022,"Persons","00 to 24","Local Authority Unitary Authories (LAUA)","E06000055","Bedford","Lung","0","Age-specific","[u]","[u]","[u]","[note2]"
2022,"Persons","25 to 49","Local Authority Unitary Authories (LAUA)","E06000055","Bedford","Lung","0","Age-specific","[u]","[u]","[u]","[note2]"
2022,"Persons","50 to 59","Local Authority Unitary Authories (LAUA)","E06000055","Bedford","Lung","11","Age-specific","43.7","21.8","78.2",NA
2022,"Persons","60 to 69","Local Authority Unitary Authories (LAUA)","E06000055","Bedford","Lung","35","Age-specific","183.8","128","255.6",NA
2022,"Persons","70 to 79","Local Authority Unitary Authories (LAUA)","E06000055","Bedford","Lung","50","Age-specific","341","253.1","449.6",NA
2022,"Persons","80 and over","Local Authority Unitary Authories (LAUA)","E06000055","Bedford","Lung","32","Age-specific","367.5","251.3","518.8",NA
2022,"Persons","00 to 24","Local Authority Unitary Authories (LAUA)","E07000067","Braintree","Lung","0","Age-specific","[u]","[u]","[u]","[note2]"
2022,"Persons","25 to 49","Local Authority Unitary Authories (LAUA)","E07000067","Braintree","Lung","4","Age-specific","8.1","2.2","20.7",NA
2022,"Persons","50 to 59","Local Authority Unitary Authories (LAUA)","E07000067","Braintree","Lung","10","Age-specific","43.3","20.7","79.7",NA
2022,"Persons","60 to 69","Local Authority Unitary Authories (LAUA)","E07000067","Braintree","Lung","23","Age-specific","126.8","80.3","190.2",NA
2022,"Persons","70 to 79","Local Authority Unitary Authories (LAUA)","E07000067","Braintree","Lung","32","Age-specific","203.1","138.9","286.7",NA
2022,"Persons","80 and over","Local Authority Unitary Authories (LAUA)","E07000067","Braintree","Lung","19","Age-specific","226.6","136.4","353.9",NA
2022,"Persons","00 to 24","Local Authority Unitary Authories (LAUA)","E07000143","Breckland","Lung","0","Age-specific","[u]","[u]","[u]","[note2]"
2022,"Persons","25 to 49","Local Authority Unitary Authories (LAUA)","E07000143","Breckland","Lung","2","Age-specific","[u]","[u]","[u]","[note2]"
2022,"Persons","50 to 59","Local Authority Unitary Authories (LAUA)","E07000143","Breckland","Lung","12","Age-specific","57.7","29.8","100.9",NA
2022,"Persons","60 to 69","Local Authority Unitary Authories (LAUA)","E07000143","Breckland","Lung","32","Age-specific","170.1","116.3","240.2",NA
2022,"Persons","70 to 79","Local Authority Unitary Authories (LAUA)","E07000143","Breckland","Lung","47","Age-specific","269.7","198.1","358.6",NA
2022,"Persons","80 and over","Local Authority Unitary Authories (LAUA)","E07000143","Breckland","Lung","36","Age-specific","364.1","255","504.1",NA
2022,"Persons","00 to 24","Local Authority Unitary Authories (LAUA)","E07000068","Brentwood","Lung","0","Age-specific","[u]","[u]","[u]","[note2]"
