fid,District Code,District Name,Asian: Bangladeshi,Asian: Chinese,Asian: Indian,Asian: Pakistani,Asian: Others,All Asians (Total),Black: African,Black: Caribbean,Black: Others,All Blacks (Total),Mixed Ethnic Group: White and Asian,Mixed Ethnic Group: White and Black African,Mixed Ethnic Group: White and Black Caribbean,Mixed Ethnic Group: Others,All Mixed Ethnic Groups (Total),"White: English, Welsh, Scottish, Northern Irish or British",White: Irish,White: Gypsy or Irish Traveller,White: Roma,White: Other Whites,All White Groups (Total),Other Ethnic Groups: Arab,Other Ethnic Groups: Any other,Other Ethnic Groups (Total),Total Population,Asian: Bangladeshi (percent),Asian: Chinese (percent),Asian: Indian (percent),Asian: Pakistani (percent),Asian: Other Asians (percent),Black: African (percent),Black: Caribbean (percent),Black: Other Blacks (percent),Mixed Ethnic Group: White and Asian (percent),Mixed Ethnic Group: White and Black African (percent),Mixed Ethnic Group: White and Black Caribbean (percent),Mixed Ethnic Group: Others (percent),"White: English, Welsh, Scottish, Northern Irish or British (percent)",White: Irish (percent),White: Gypsy or Irish Traveller (percent),White: Roma (percent),White: Other Whites (percent),Other Ethnic Groups: Arab (percent),Other Ethnic Groups: Any other (percent)
29,E06000031,Peterborough,  442 ,  990 ,"  7,169 ","  16,972 ","  5,228 ","  30,801 ","  6,225 ","  1,419 ","  1,107 ","  8,751 ","  2,021 ","  1,627 ","  1,990 ","  1,979 ","  7,617 ","  128,353 ","  1,177 ",551,938,"  31,562 ","  162,581 ",  897 ,"  5,023 ","  5,920.0 ",215670,  0.2 ,0.5,3.3,  7.9 ,2.4,2.9,0.7,  0.5 ,0.9,0.8,0.9,0.9,59.5,0.5,  0.3 ,  0.4 ,14.6,  0.4 ,2.3
30,E06000032,Luton,"  20,630 ",  901 ,"  12,096 ","  41,143 ","  8,555 ","  83,325 ","  11,774 ","  8,216 ","  2,745 ","  22,735 ","  2,429 ","  1,268 ","  3,486 ","  2,437 ","  9,620 ","  71,532 ","  4,570 ",238,808,"  24,650 ","  101,798 ","  2,106 ","  5,677 ","  7,783.0 ",225261,  9.2 ,0.4,5.4,  18.3 ,3.8,5.2,3.6,  1.2 ,1.1,0.6,1.5,1.1,31.8,2.0,  0.1 ,  0.4 ,10.9,  0.9 ,2.5
31,E06000033,Southend-on-Sea,"  1,615 ","  1,170 ","  2,828 ","  1,765 ","  2,486 ","  9,864 ","  3,590 ",  839 ,  724 ,"  5,153 ","  1,527 ","  1,045 ","  1,580 ","  1,401 ","  5,553 ","  147,442 ","  1,569 ",106,241,"  8,721 ","  158,079 ",  402 ,"  1,634 ","  2,036.0 ",180685,  0.9 ,0.6,1.6,  1.0 ,1.4,2.0,0.5,  0.4 ,0.8,0.6,0.9,0.8,81.6,0.9,  0.1 ,  0.1 ,4.8,  0.2 ,0.9
32,E06000034,Thurrock,"  2,502 ",  997 ,"  3,982 ","  2,145 ","  2,579 ","  12,205 ","  16,171 ","  2,174 ","  2,532 ","  20,877 ","  1,099 ","  1,115 ","  1,693 ","  1,345 ","  5,252 ","  116,430 ",  993 ,428,322,"  16,811 ","  134,984 ",  369 ,"  2,306 ","  2,675.0 ",175993,  1.4 ,0.6,2.3,  1.2 ,1.5,9.2,1.2,  1.4 ,0.6,0.6,1.0,0.8,66.2,0.6,  0.2 ,  0.2 ,9.6,  0.2 ,1.3
52,E06000055,Bedford,"  4,486 ",  756 ,"  10,074 ","  5,297 ","  2,650 ","  23,263 ","  5,448 ","  3,227 ","  1,173 ","  9,848 ","  2,146 ",  939 ,"  3,638 ","  1,863 ","  8,586 ","  118,779 ","  1,798 ",208,483,"  18,906 ","  140,174 ",  557 ,"  2,796 ","  3,353.0 ",185224,  2.4 ,0.4,5.4,  2.9 ,1.4,2.9,1.7,  0.6 ,1.2,0.5,2.0,1.0,64.1,1.0,  0.1 ,  0.3 ,10.2,  0.3 ,1.5
53,E06000056,Central Bedfordshire,  572 ,"  1,368 ","  4,684 ","  1,312 ","  2,385 ","  10,321 ","  3,942 ","  2,148 ",  928 ,"  7,018 ","  2,572 ","  1,095 ","  3,121 ","  2,097 ","  8,885 ","  245,769 ","  3,527 ",436,297,"  15,516 ","  265,545 ",  493 ,"  1,989 ","  2,482.0 ",294251,  0.2 ,0.5,1.6,  0.4 ,0.8,1.3,0.7,  0.3 ,0.9,0.4,1.1,0.7,83.5,1.2,  0.1 ,  0.1 ,5.3,  0.2 ,0.7
64,E07000008,Cambridge,"  2,874 ","  6,362 ","  5,916 ","  1,500 ","  4,974 ","  21,626 ","  2,519 ",  639 ,  403 ,"  3,561 ","  2,987 ","  1,010 ","  1,152 ","  2,261 ","  7,410 ","  77,195 ","  1,885 ",110,885,"  28,495 ","  108,570 ","  1,141 ","  3,366 ","  4,507.0 ",145674,  2.0 ,4.4,4.1,  1.0 ,3.4,1.7,0.4,  0.3 ,2.1,0.7,0.8,1.6,53.0,1.3,  0.1 ,  0.6 ,19.6,  0.8 ,2.3
65,E07000009,East Cambridgeshire,  118 ,  344 ,  537 ,  147 ,  542 ,"  1,688 ",  460 ,  119 ,  126 ,  705 ,  618 ,  312 ,  327 ,  626 ,"  1,883 ","  75,897 ",  664 ,265,118,"  5,968 ","  82,912 ",  87 ,  488 ,  575.0 ,87763,  0.1 ,0.4,0.6,  0.2 ,0.6,0.5,0.1,  0.1 ,0.7,0.4,0.4,0.7,86.5,0.8,  0.3 ,  0.1 ,6.8,  0.1 ,0.6
66,E07000010,Fenland,  72 ,  245 ,  387 ,  85 ,  443 ,"  1,232 ",  455 ,  223 ,  136 ,  814 ,  382 ,  220 ,  416 ,  394 ,"  1,412 ","  88,028 ",  434 ,593,167,"  9,058 ","  98,280 ",  47 ,  676 ,  723.0 ,102461,  0.1 ,0.2,0.4,  0.1 ,0.4,0.4,0.2,  0.1 ,0.4,0.2,0.4,0.4,85.9,0.4,  0.6 ,  0.2 ,8.8,  -   ,0.7
67,E07000011,Huntingdonshire,  417 ,  687 ,"  1,779 ","  1,261 ","  1,601 ","  5,745 ","  1,766 ",  483 ,  397 ,"  2,646 ","  1,220 ",  636 ,"  1,010 ","  1,191 ","  4,057 ","  154,089 ","  1,255 ",272,128,"  11,372 ","  167,116 ",  167 ,"  1,101 ","  1,268.0 ",180832,  0.2 ,0.4,1.0,  0.7 ,0.9,1.0,0.3,  0.2 ,0.7,0.4,0.6,0.7,85.2,0.7,  0.2 ,  0.1 ,6.3,  0.1 ,0.6
68,E07000012,South Cambridgeshire,  420 ,"  1,956 ","  4,205 ",  857 ,"  1,961 ","  9,399 ","  1,431 ",  341 ,  247 ,"  2,019 ","  1,832 ",  600 ,  788 ,"  1,371 ","  4,591 ","  128,985 ","  1,447 ",478,175,"  13,200 ","  144,285 ",  414 ,"  1,409 ","  1,823.0 ",162117,  0.3 ,1.2,2.6,  0.5 ,1.2,0.9,0.2,  0.2 ,1.1,0.4,0.5,0.8,79.6,0.9,  0.3 ,  0.1 ,8.1,  0.3 ,0.9
90,E07000066,Basildon,  729 ,  735 ,"  3,855 ",  864 ,"  1,812 ","  7,995 ","  6,402 ","  1,279 ","  1,232 ","  8,913 ","  1,143 ",  892 ,"  1,733 ","  1,170 ","  4,938 ","  154,045 ","  1,227 ",237,281,"  8,326 ","  164,116 ",  243 ,"  1,362 ","  1,605.0 ",187567,  0.4 ,0.4,2.1,  0.5 ,1.0,3.4,0.7,  0.7 ,0.6,0.5,0.9,0.6,82.1,0.7,  0.1 ,  0.1 ,4.4,  0.1 ,0.7
91,E07000067,Braintree,  221 ,  365 ,  834 ,  229 ,  917 ,"  2,566 ","  1,205 ",  442 ,  242 ,"  1,889 ",  880 ,  437 ,  844 ,  853 ,"  3,014 ","  140,283 ","  1,085 ",161,67,"  5,385 ","  146,981 ",  106 ,  709 ,  815.0 ,155265,  0.1 ,0.2,0.5,  0.1 ,0.6,0.8,0.3,  0.2 ,0.6,0.3,0.5,0.5,90.4,0.7,  0.1 ,  -   ,3.5,  0.1 ,0.5
92,E07000068,Brentwood,  293 ,  510 ,"  2,015 ",  267 ,  828 ,"  3,913 ","  1,164 ",  368 ,  215 ,"  1,747 ",  809 ,  321 ,  633 ,  605 ,"  2,368 ","  63,696 ","  1,008 ",95,77,"  3,318 ","  68,194 ",  166 ,  660 ,  826.0 ,77048,  0.4 ,0.7,2.6,  0.3 ,1.1,1.5,0.5,  0.3 ,1.0,0.4,0.8,0.8,82.7,1.3,  0.1 ,  0.1 ,4.3,  0.2 ,0.9
93,E07000069,Castle Point,  189 ,  264 ,  541 ,  164 ,  392 ,"  1,550 ",  827 ,  190 ,  162 ,"  1,179 ",  419 ,  155 ,  512 ,  360 ,"  1,446 ","  82,997 ",  528 ,31,32,"  1,393 ","  84,981 ",  32 ,  394 ,  426.0 ,89582,  0.2 ,0.3,0.6,  0.2 ,0.4,0.9,0.2,  0.2 ,0.5,0.2,0.6,0.4,92.6,0.6,  -   ,  -   ,1.6,  -   ,0.4
94,E07000070,Chelmsford,  841 ,"  1,133 ","  4,728 ","  1,124 ","  1,820 ","  9,646 ","  3,373 ",  796 ,  587 ,"  4,756 ","  1,438 ",  722 ,"  1,354 ","  1,210 ","  4,724 ","  150,758 ","  1,536 ",255,147,"  8,005 ","  160,701 ",  384 ,"  1,312 ","  1,696.0 ",181523,  0.5 ,0.6,2.6,  0.6 ,1.0,1.9,0.4,  0.3 ,0.8,0.4,0.7,0.7,83.1,0.8,  0.1 ,  0.1 ,4.4,  0.2 ,0.7
95,E07000071,Colchester,  767 ,"  1,834 ","  3,027 ",  743 ,"  3,536 ","  9,907 ","  4,904 ",  961 ,  796 ,"  6,661 ","  1,659 ",  982 ,"  1,428 ","  1,533 ","  5,602 ","  155,488 ","  1,192 ",175,244,"  10,602 ","  167,701 ",  731 ,"  2,114 ","  2,845.0 ",192716,  0.4 ,1.0,1.6,  0.4 ,1.8,2.5,0.5,  0.4 ,0.9,0.5,0.7,0.8,80.7,0.6,  0.1 ,  0.1 ,5.5,  0.4 ,1.1
96,E07000072,Epping Forest,  703 ,  785 ,"  4,712 ","  1,930 ","  1,548 ","  9,678 ","  1,941 ","  1,438 ",  553 ,"  3,932 ","  1,306 ",  588 ,"  1,481 ","  1,521 ","  4,896 ","  101,994 ","  1,657 ",142,160,"  9,516 ","  113,469 ",  330 ,"  2,675 ","  3,005.0 ",134980,  0.5 ,0.6,3.5,  1.4 ,1.1,1.4,1.1,  0.4 ,1.0,0.4,1.1,1.1,75.6,1.2,  0.1 ,  0.1 ,7.0,  0.2 ,2.0
97,E07000073,Harlow,  740 ,  817 ,"  1,613 ","  1,197 ","  1,188 ","  5,555 ","  4,156 ",  909 ,  762 ,"  5,827 ",  623 ,  587 ,"  1,051 ",  787 ,"  3,048 ","  67,993 ",  743 ,182,193,"  8,103 ","  77,214 ",  301 ,"  1,385 ","  1,686.0 ",93330,  0.8 ,0.9,1.7,  1.3 ,1.3,4.5,1.0,  0.8 ,0.7,0.6,1.1,0.8,72.9,0.8,  0.2 ,  0.2 ,8.7,  0.3 ,1.5
98,E07000074,Maldon,  143 ,  127 ,  224 ,  36 ,  211 ,  741 ,  119 ,  76 ,  41 ,  236 ,  328 ,  107 ,  230 ,  232 ,  897 ,"  62,268 ",  439 ,176,44,"  1,202 ","  64,129 ",  16 ,  192 ,  208.0 ,66211,  0.2 ,0.2,0.3,  0.1 ,0.3,0.2,0.1,  0.1 ,0.5,0.2,0.3,0.4,94.0,0.7,  0.3 ,  0.1 ,1.8,  -   ,0.3
99,E07000075,Rochford,  77 ,  266 ,  439 ,  97 ,  306 ,"  1,185 ",  402 ,  140 ,  91 ,  633 ,  493 ,  198 ,  431 ,  310 ,"  1,432 ","  80,339 ",  462 ,104,31,"  1,180 ","  82,116 ",  36 ,  260 ,  296.0 ,85662,  0.1 ,0.3,0.5,  0.1 ,0.4,0.5,0.2,  0.1 ,0.6,0.2,0.5,0.4,93.8,0.5,  0.1 ,  -   ,1.4,  -   ,0.3
