"Year","Gender","Age at diagnosis","Geography type","Geography code","Geography name ","NDRS main","Count","Type of rate","Rate","95% lower confidence interval","95% upper confidence interval","Flag"
2022,"Males","All ages","Local Authority Unitary Authories (LAUA)","E07000200","Babergh","Prostate","147","Non-standardised","321.5","271.6","377.9",NA
2022,"Males","All ages","Local Authority Unitary Authories (LAUA)","E07000200","Babergh","Prostate","147","Age-standardised","245.5","207.3","288.7",NA
2022,"Males","All ages","Local Authority Unitary Authories (LAUA)","E07000066","Basildon","Prostate","149","Non-standardised","162.4","137.3","190.6",NA
2022,"Males","All ages","Local Authority Unitary Authories (LAUA)","E07000066","Basildon","Prostate","149","Age-standardised","192.9","163","226.5",NA
2022,"Males","All ages","Local Authority Unitary Authories (LAUA)","E06000055","Bedford","Prostate","223","Non-standardised","242","211.3","276",NA
2022,"Males","All ages","Local Authority Unitary Authories (LAUA)","E06000055","Bedford","Prostate","223","Age-standardised","278.7","243.2","317.8",NA
2022,"Males","All ages","Local Authority Unitary Authories (LAUA)","E07000067","Braintree","Prostate","157","Non-standardised","203.6","173","238.1",NA
2022,"Males","All ages","Local Authority Unitary Authories (LAUA)","E07000067","Braintree","Prostate","157","Age-standardised","200.6","170.4","234.7",NA
2022,"Males","All ages","Local Authority Unitary Authories (LAUA)","E07000143","Breckland","Prostate","165","Non-standardised","232","198","270.2",NA
2022,"Males","All ages","Local Authority Unitary Authories (LAUA)","E07000143","Breckland","Prostate","165","Age-standardised","193.7","165.2","225.8",NA
2022,"Males","All ages","Local Authority Unitary Authories (LAUA)","E07000068","Brentwood","Prostate","79","Non-standardised","210.2","166.4","261.9",NA
2022,"Males","All ages","Local Authority Unitary Authories (LAUA)","E07000068","Brentwood","Prostate","79","Age-standardised","213.6","169.1","266.3",NA
2022,"Males","All ages","Local Authority Unitary Authories (LAUA)","E07000144","Broadland","Prostate","138","Non-standardised","211.5","177.7","249.9",NA
2022,"Males","All ages","Local Authority Unitary Authories (LAUA)","E07000144","Broadland","Prostate","138","Age-standardised","169.5","142.3","200.3",NA
2022,"Males","All ages","Local Authority Unitary Authories (LAUA)","E07000095","Broxbourne","Prostate","135","Non-standardised","282.5","236.8","334.3",NA
2022,"Males","All ages","Local Authority Unitary Authories (LAUA)","E07000095","Broxbourne","Prostate","135","Age-standardised","318.8","267.2","377.4",NA
2022,"Males","All ages","Local Authority Unitary Authories (LAUA)","E07000008","Cambridge","Prostate","106","Non-standardised","143.4","117.4","173.5",NA
2022,"Males","All ages","Local Authority Unitary Authories (LAUA)","E07000008","Cambridge","Prostate","106","Age-standardised","245.2","200.5","297",NA
2022,"Males","All ages","Local Authority Unitary Authories (LAUA)","E07000069","Castle Point","Prostate","98","Non-standardised","225.3","182.9","274.6",NA
2022,"Males","All ages","Local Authority Unitary Authories (LAUA)","E07000069","Castle Point","Prostate","98","Age-standardised","190.4","154.4","232.3",NA
2022,"Males","All ages","Local Authority Unitary Authories (LAUA)","E06000056","Central Bedfordshire","Prostate","370","Non-standardised","249","224.3","275.7",NA
2022,"Males","All ages","Local Authority Unitary Authories (LAUA)","E06000056","Central Bedfordshire","Prostate","370","Age-standardised","269.2","242.4","298.2",NA
2022,"Males","All ages","Local Authority Unitary Authories (LAUA)","E07000070","Chelmsford","Prostate","157","Non-standardised","174.8","148.5","204.4",NA
2022,"Males","All ages","Local Authority Unitary Authories (LAUA)","E07000070","Chelmsford","Prostate","157","Age-standardised","183.4","155.8","214.4",NA
