"Year","Gender","Age at diagnosis","Geography type","Geography code","Geography name ","NDRS main","Count","Type of rate","Rate","95% lower confidence interval","95% upper confidence interval","Flag"
2022,"Males","00 to 24","Local Authority Unitary Authories (LAUA)","E07000200","Babergh","Prostate","0","Age-specific","[u]","[u]","[u]","[note2]"
2022,"Males","25 to 49","Local Authority Unitary Authories (LAUA)","E07000200","Babergh","Prostate","0","Age-specific","[u]","[u]","[u]","[note2]"
2022,"Males","50 to 59","Local Authority Unitary Authories (LAUA)","E07000200","Babergh","Prostate","9","Age-specific","132.2","60.4","251",NA
2022,"Males","60 to 69","Local Authority Unitary Authories (LAUA)","E07000200","Babergh","Prostate","36","Age-specific","586.1","410.5","811.5",NA
2022,"Males","70 to 79","Local Authority Unitary Authories (LAUA)","E07000200","Babergh","Prostate","71","Age-specific","1215.3","949.1","1533",NA
2022,"Males","80 and over","Local Authority Unitary Authories (LAUA)","E07000200","Babergh","Prostate","31","Age-specific","1017.4","691.1","1444.2",NA
2022,"Males","00 to 24","Local Authority Unitary Authories (LAUA)","E07000066","Basildon","Prostate","0","Age-specific","[u]","[u]","[u]","[note2]"
2022,"Males","25 to 49","Local Authority Unitary Authories (LAUA)","E07000066","Basildon","Prostate","0","Age-specific","[u]","[u]","[u]","[note2]"
2022,"Males","50 to 59","Local Authority Unitary Authories (LAUA)","E07000066","Basildon","Prostate","13","Age-specific","105.4","56.1","180.3",NA
2022,"Males","60 to 69","Local Authority Unitary Authories (LAUA)","E07000066","Basildon","Prostate","41","Age-specific","440.4","316","597.4",NA
2022,"Males","70 to 79","Local Authority Unitary Authories (LAUA)","E07000066","Basildon","Prostate","70","Age-specific","1011.7","788.6","1278.2",NA
2022,"Males","80 and over","Local Authority Unitary Authories (LAUA)","E07000066","Basildon","Prostate","25","Age-specific","738.6","477.8","1090.3",NA
2022,"Males","00 to 24","Local Authority Unitary Authories (LAUA)","E06000055","Bedford","Prostate","0","Age-specific","[u]","[u]","[u]","[note2]"
2022,"Males","25 to 49","Local Authority Unitary Authories (LAUA)","E06000055","Bedford","Prostate","1","Age-specific","[u]","[u]","[u]","[note2]"
2022,"Males","50 to 59","Local Authority Unitary Authories (LAUA)","E06000055","Bedford","Prostate","39","Age-specific","311.2","221.3","425.4",NA
2022,"Males","60 to 69","Local Authority Unitary Authories (LAUA)","E06000055","Bedford","Prostate","84","Age-specific","900.6","718.3","1115",NA
2022,"Males","70 to 79","Local Authority Unitary Authories (LAUA)","E06000055","Bedford","Prostate","76","Age-specific","1107.4","872.5","1386.1",NA
2022,"Males","80 and over","Local Authority Unitary Authories (LAUA)","E06000055","Bedford","Prostate","23","Age-specific","646.8","409.9","970.6",NA
2022,"Males","00 to 24","Local Authority Unitary Authories (LAUA)","E07000067","Braintree","Prostate","0","Age-specific","[u]","[u]","[u]","[note2]"
