"Year","Gender","Age at diagnosis","Geography type","Geography code","Geography name ","NDRS main","Count","Type of rate","Rate","95% lower confidence interval","95% upper confidence interval","Flag"
2022,"Persons","All ages","Local Authority Unitary Authories (LAUA)","E07000200","Babergh","Skin cancer","552","Non-standardised","585.4","537.6","636.4",NA
2022,"Persons","All ages","Local Authority Unitary Authories (LAUA)","E07000200","Babergh","Skin cancer","552","Age-gender-standardised","447.2","410.2","486.7",NA
2022,"Persons","All ages","Local Authority Unitary Authories (LAUA)","E07000066","Basildon","Skin cancer","898","Non-standardised","475.6","445","507.8",NA
2022,"Persons","All ages","Local Authority Unitary Authories (LAUA)","E07000066","Basildon","Skin cancer","898","Age-gender-standardised","537.7","502.8","574.5",NA
2022,"Persons","All ages","Local Authority Unitary Authories (LAUA)","E06000055","Bedford","Skin cancer","724","Non-standardised","386.1","358.5","415.3",NA
2022,"Persons","All ages","Local Authority Unitary Authories (LAUA)","E06000055","Bedford","Skin cancer","724","Age-gender-standardised","441.2","409.4","474.8",NA
2022,"Persons","All ages","Local Authority Unitary Authories (LAUA)","E07000067","Braintree","Skin cancer","824","Non-standardised","522.8","487.7","559.8",NA
2022,"Persons","All ages","Local Authority Unitary Authories (LAUA)","E07000067","Braintree","Skin cancer","824","Age-gender-standardised","505.6","471.4","541.5",NA
2022,"Persons","All ages","Local Authority Unitary Authories (LAUA)","E07000143","Breckland","Skin cancer","662","Non-standardised","461.5","427","498",NA
2022,"Persons","All ages","Local Authority Unitary Authories (LAUA)","E07000143","Breckland","Skin cancer","662","Age-gender-standardised","373.9","345.7","403.8",NA
2022,"Persons","All ages","Local Authority Unitary Authories (LAUA)","E07000068","Brentwood","Skin cancer","472","Non-standardised","610.2","556.4","667.8",NA
2022,"Persons","All ages","Local Authority Unitary Authories (LAUA)","E07000068","Brentwood","Skin cancer","472","Age-gender-standardised","591.5","538.9","647.8",NA
