"Year","Gender","Age at diagnosis","Geography type","Geography code","Geography name ","NDRS main","Count","Type of rate","Rate","95% lower confidence interval","95% upper confidence interval","Flag"
2022,"Persons","00 to 24","Local Authority Unitary Authories (LAUA)","E07000200","Babergh","Skin cancer","0","Age-specific","[u]","[u]","[u]","[note2]"
2022,"Persons","25 to 49","Local Authority Unitary Authories (LAUA)","E07000200","Babergh","Skin cancer","21","Age-specific","83.9","51.9","128.3",NA
2022,"Persons","50 to 59","Local Authority Unitary Authories (LAUA)","E07000200","Babergh","Skin cancer","31","Age-specific","218.8","148.6","310.6",NA
2022,"Persons","60 to 69","Local Authority Unitary Authories (LAUA)","E07000200","Babergh","Skin cancer","95","Age-specific","743.1","601.2","908.4",NA
2022,"Persons","70 to 79","Local Authority Unitary Authories (LAUA)","E07000200","Babergh","Skin cancer","207","Age-specific","1683.6","1462","1929.3",NA
2022,"Persons","80 and over","Local Authority Unitary Authories (LAUA)","E07000200","Babergh","Skin cancer","198","Age-specific","2810.9","2433","3230.9",NA
2022,"Persons","00 to 24","Local Authority Unitary Authories (LAUA)","E07000066","Basildon","Skin cancer","2","Age-specific","[u]","[u]","[u]","[note2]"
2022,"Persons","25 to 49","Local Authority Unitary Authories (LAUA)","E07000066","Basildon","Skin cancer","48","Age-specific","75.5","55.7","100.1",NA
2022,"Persons","50 to 59","Local Authority Unitary Authories (LAUA)","E07000066","Basildon","Skin cancer","100","Age-specific","397.9","323.8","484",NA
2022,"Persons","60 to 69","Local Authority Unitary Authories (LAUA)","E07000066","Basildon","Skin cancer","151","Age-specific","782.5","662.6","917.7",NA
2022,"Persons","70 to 79","Local Authority Unitary Authories (LAUA)","E07000066","Basildon","Skin cancer","295","Age-specific","1946","1730.3","2181.3",NA
2022,"Persons","80 and over","Local Authority Unitary Authories (LAUA)","E07000066","Basildon","Skin cancer","302","Age-specific","3511.2","3126.3","3930.4",NA
2022,"Persons","00 to 24","Local Authority Unitary Authories (LAUA)","E06000055","Bedford","Skin cancer","0","Age-specific","[u]","[u]","[u]","[note2]"
2022,"Persons","25 to 49","Local Authority Unitary Authories (LAUA)","E06000055","Bedford","Skin cancer","37","Age-specific","57.4","40.4","79.2",NA
2022,"Persons","50 to 59","Local Authority Unitary Authories (LAUA)","E06000055","Bedford","Skin cancer","56","Age-specific","222.4","168","288.8",NA
2022,"Persons","60 to 69","Local Authority Unitary Authories (LAUA)","E06000055","Bedford","Skin cancer","103","Age-specific","540.9","441.5","655.9",NA
2022,"Persons","70 to 79","Local Authority Unitary Authories (LAUA)","E06000055","Bedford","Skin cancer","236","Age-specific","1609.5","1410.7","1828.5",NA
2022,"Persons","80 and over","Local Authority Unitary Authories (LAUA)","E06000055","Bedford","Skin cancer","292","Age-specific","3353.2","2979.6","3760.8",NA
2022,"Persons","00 to 24","Local Authority Unitary Authories (LAUA)","E07000067","Braintree","Skin cancer","1","Age-specific","[u]","[u]","[u]","[note2]"
2022,"Persons","25 to 49","Local Authority Unitary Authories (LAUA)","E07000067","Braintree","Skin cancer","40","Age-specific","80.7","57.6","109.9",NA
2022,"Persons","50 to 59","Local Authority Unitary Authories (LAUA)","E07000067","Braintree","Skin cancer","94","Age-specific","407.3","329.1","498.4",NA
2022,"Persons","60 to 69","Local Authority Unitary Authories (LAUA)","E07000067","Braintree","Skin cancer","144","Age-specific","793.8","669.4","934.5",NA
2022,"Persons","70 to 79","Local Authority Unitary Authories (LAUA)","E07000067","Braintree","Skin cancer","298","Age-specific","1891.5","1682.8","2118.9",NA
