fid,Geography name ,Cancer Type,Age 00 to 24,Age 25 to 49,Age 50 to 59,Age 60 to 69,Age 70 to 79,Age 80 and over,All ages
29,Peterborough,Breast,2,29,42,34,32,21,160
30,Luton,Breast,0,16,36,37,19,20,128
31,Southend-on-Sea,Breast,0,23,45,38,44,37,187
32,Thurrock,Breast,0,28,32,33,25,15,133
52,Bedford,Breast,1,27,27,44,40,21,160
53,Central Bedfordshire,Breast,0,43,48,52,55,54,252
64,Cambridge,Breast,2,19,24,18,8,29,100
65,East Cambridgeshire,Breast,0,15,10,21,21,16,83
66,Fenland,Breast,0,17,22,22,25,21,107
67,Huntingdonshire,Breast,0,23,47,37,39,22,168
68,South Cambridgeshire,Breast,0,36,32,47,30,22,167
90,Basildon,Breast,1,21,34,21,36,22,135
91,Braintree,Breast,0,20,31,30,32,17,130
92,Brentwood,Breast,0,17,24,9,17,7,74
93,Castle Point,Breast,0,11,16,18,24,23,92
94,Chelmsford,Breast,0,27,31,48,38,25,169
95,Colchester,Breast,0,21,35,33,36,22,147
96,Epping Forest,Breast,0,23,27,27,25,13,115
97,Harlow,Breast,0,14,7,10,15,15,61
98,Maldon,Breast,1,7,21,15,23,15,82
99,Rochford,Breast,0,18,23,22,28,9,100
100,Tendring,Breast,0,17,35,35,45,37,169
101,Uttlesford,Breast,0,15,39,37,30,11,132
119,Broxbourne,Breast,0,8,11,22,15,13,69
120,Dacorum,Breast,0,29,43,48,30,14,164
121,Hertsmere,Breast,0,14,30,19,29,16,108
122,North Hertfordshire,Breast,0,29,37,28,23,19,136
123,Three Rivers,Breast,0,11,32,39,20,16,118
124,Watford,Breast,0,13,31,19,15,11,89
163,Breckland,Breast,0,19,31,42,39,31,162
164,Broadland,Breast,0,13,33,28,27,24,125
165,Great Yarmouth,Breast,0,11,26,20,30,20,107
166,King's Lynn and West Norfolk,Breast,0,18,31,46,30,40,165
167,North Norfolk,Breast,0,9,24,31,45,34,143
168,Norwich,Breast,0,15,33,17,22,22,109
169,South Norfolk,Breast,0,20,33,36,36,22,147
190,Babergh,Breast,1,19,20,27,25,20,112
191,Ipswich,Breast,0,19,25,26,16,11,97
192,Mid Suffolk,Breast,0,20,20,29,28,15,112
222,St Albans,Breast,0,28,38,38,27,20,151
223,Welwyn Hatfield,Breast,0,20,19,22,19,29,109
224,East Hertfordshire,Breast,0,28,38,31,30,28,155
225,Stevenage,Breast,0,15,15,9,12,7,58
226,East Suffolk,Breast,0,25,64,75,66,51,281
227,West Suffolk,Breast,0,25,41,40,34,25,165
29,Peterborough,Bowel,0,9,17,22,33,29,110
30,Luton,Bowel,0,6,17,10,25,43,101
31,Southend-on-Sea,Bowel,0,3,14,28,49,43,137
32,Thurrock,Bowel,0,4,8,31,31,29,103
52,Bedford,Bowel,0,7,14,24,43,31,119
53,Central Bedfordshire,Bowel,0,18,29,37,64,48,196
64,Cambridge,Bowel,0,4,7,14,17,19,61
65,East Cambridgeshire,Bowel,0,4,9,14,22,24,73
66,Fenland,Bowel,0,5,7,24,36,25,97
67,Huntingdonshire,Bowel,0,12,17,32,46,37,144
68,South Cambridgeshire,Bowel,0,3,15,28,33,45,124
90,Basildon,Bowel,0,8,16,34,35,33,126
91,Braintree,Bowel,0,7,21,21,32,32,113
92,Brentwood,Bowel,0,2,5,9,12,16,44
93,Castle Point,Bowel,0,6,10,9,24,34,83
94,Chelmsford,Bowel,0,9,10,28,41,38,126
95,Colchester,Bowel,0,8,20,29,36,41,134
96,Epping Forest,Bowel,2,5,14,25,37,34,117
97,Harlow,Bowel,0,3,6,12,15,15,51
98,Maldon,Bowel,0,6,5,16,17,22,66
99,Rochford,Bowel,0,4,4,13,19,23,63
100,Tendring,Bowel,0,8,21,35,55,64,183
101,Uttlesford,Bowel,0,5,9,18,10,17,59
119,Broxbourne,Bowel,0,7,8,14,10,18,57
120,Dacorum,Bowel,0,7,16,20,38,33,114
121,Hertsmere,Bowel,0,6,9,15,22,14,66
122,North Hertfordshire,Bowel,0,7,15,20,21,30,93
123,Three Rivers,Bowel,0,0,3,17,19,22,61
124,Watford,Bowel,0,6,8,9,13,12,48
163,Breckland,Bowel,0,4,18,30,38,39,129
164,Broadland,Bowel,0,4,8,18,35,51,116
165,Great Yarmouth,Bowel,0,3,12,29,33,31,108
166,King's Lynn and West Norfolk,Bowel,0,3,8,20,60,47,138
167,North Norfolk,Bowel,0,4,8,26,39,42,119
168,Norwich,Bowel,0,6,6,18,22,23,75
169,South Norfolk,Bowel,0,8,5,28,37,41,119
190,Babergh,Bowel,0,1,10,17,23,24,75
191,Ipswich,Bowel,0,9,18,22,31,29,109
192,Mid Suffolk,Bowel,0,7,5,20,33,33,98
222,St Albans,Bowel,0,6,12,16,21,28,83
223,Welwyn Hatfield,Bowel,0,5,12,15,25,18,75
224,East Hertfordshire,Bowel,0,8,16,21,28,25,98
225,Stevenage,Bowel,0,3,5,8,16,19,51
226,East Suffolk,Bowel,1,16,19,50,71,72,229
227,West Suffolk,Bowel,0,4,20,30,46,45,145
29,Peterborough,Lung,0,5,17,29,48,23,122
30,Luton,Lung,0,5,12,22,50,23,112
31,Southend-on-Sea,Lung,0,3,13,28,49,30,123
32,Thurrock,Lung,0,2,10,16,46,28,102
52,Bedford,Lung,0,0,11,35,50,32,128
53,Central Bedfordshire,Lung,0,7,13,47,59,49,175
64,Cambridge,Lung,0,2,9,24,25,17,77
65,East Cambridgeshire,Lung,0,0,4,12,20,17,53
66,Fenland,Lung,0,2,6,23,40,29,100
67,Huntingdonshire,Lung,0,7,5,29,46,26,113
68,South Cambridgeshire,Lung,1,0,7,15,40,38,101
90,Basildon,Lung,1,4,14,29,42,55,145
91,Braintree,Lung,0,4,10,23,32,19,88
92,Brentwood,Lung,0,0,1,7,14,19,41
93,Castle Point,Lung,0,0,2,17,36,28,83
94,Chelmsford,Lung,0,4,10,16,49,30,109
95,Colchester,Lung,0,2,7,22,50,37,118
96,Epping Forest,Lung,0,4,9,18,41,23,95
97,Harlow,Lung,0,1,10,19,25,15,70
98,Maldon,Lung,1,1,2,6,17,20,47
99,Rochford,Lung,0,0,6,9,29,33,77
100,Tendring,Lung,0,4,6,34,71,57,172
101,Uttlesford,Lung,0,1,4,11,24,11,51
119,Broxbourne,Lung,0,0,3,11,23,15,52
120,Dacorum,Lung,0,2,10,21,39,26,98
121,Hertsmere,Lung,0,1,8,12,23,25,69
122,North Hertfordshire,Lung,0,1,8,20,39,29,97
123,Three Rivers,Lung,0,0,4,13,29,17,63
124,Watford,Lung,0,4,4,19,12,18,57
163,Breckland,Lung,0,2,12,32,47,36,129
164,Broadland,Lung,0,0,4,20,38,39,101
165,Great Yarmouth,Lung,0,2,16,26,48,38,130
166,King's Lynn and West Norfolk,Lung,0,3,10,23,50,40,126
167,North Norfolk,Lung,1,1,10,21,49,30,112
168,Norwich,Lung,0,4,7,20,36,28,95
169,South Norfolk,Lung,0,2,7,16,35,31,91
190,Babergh,Lung,0,0,4,14,38,19,75
191,Ipswich,Lung,0,4,9,36,38,23,110
192,Mid Suffolk,Lung,0,0,5,14,24,16,59
222,St Albans,Lung,0,5,8,15,28,27,83
223,Welwyn Hatfield,Lung,0,3,5,10,29,28,75
224,East Hertfordshire,Lung,0,1,5,16,31,25,78
225,Stevenage,Lung,0,2,4,17,21,20,64
226,East Suffolk,Lung,0,2,16,37,81,63,199
227,West Suffolk,Lung,0,0,5,27,49,37,118
29,Peterborough,Prostate,0,3,21,69,57,24,174
30,Luton,Prostate,0,1,27,57,60,30,175
31,Southend-on-Sea,Prostate,0,0,9,39,63,39,150
32,Thurrock,Prostate,0,1,14,35,57,19,126
52,Bedford,Prostate,0,1,39,84,76,23,223
53,Central Bedfordshire,Prostate,0,3,47,117,158,45,370
64,Cambridge,Prostate,0,2,13,36,45,10,106
65,East Cambridgeshire,Prostate,0,0,5,24,38,9,76
66,Fenland,Prostate,0,0,17,39,67,20,143
67,Huntingdonshire,Prostate,0,0,15,57,76,23,171
68,South Cambridgeshire,Prostate,0,1,17,66,91,24,199
90,Basildon,Prostate,0,0,13,41,70,25,149
91,Braintree,Prostate,0,1,16,37,72,31,157
92,Brentwood,Prostate,0,0,8,32,26,13,79
93,Castle Point,Prostate,0,1,8,24,43,22,98
94,Chelmsford,Prostate,0,2,22,43,58,32,157
95,Colchester,Prostate,0,4,18,49,78,51,200
96,Epping Forest,Prostate,0,2,14,40,49,20,125
97,Harlow,Prostate,0,1,12,29,24,13,79
98,Maldon,Prostate,0,0,9,20,33,12,74
99,Rochford,Prostate,0,0,8,21,29,20,78
100,Tendring,Prostate,0,0,18,66,111,55,250
101,Uttlesford,Prostate,0,3,15,41,38,18,115
119,Broxbourne,Prostate,0,3,20,46,50,16,135
120,Dacorum,Prostate,0,3,22,73,67,19,184
121,Hertsmere,Prostate,0,4,12,45,47,10,118
122,North Hertfordshire,Prostate,0,3,18,44,67,28,160
123,Three Rivers,Prostate,0,0,12,49,51,18,130
124,Watford,Prostate,0,0,10,19,26,15,70
163,Breckland,Prostate,0,2,17,50,71,25,165
164,Broadland,Prostate,0,0,13,34,69,22,138
165,Great Yarmouth,Prostate,0,2,8,31,52,13,106
166,King's Lynn and West Norfolk,Prostate,0,0,22,48,86,18,174
167,North Norfolk,Prostate,0,0,6,53,64,25,148
168,Norwich,Prostate,0,0,6,26,26,14,72
169,South Norfolk,Prostate,0,3,20,37,54,20,134
190,Babergh,Prostate,0,0,9,36,71,31,147
191,Ipswich,Prostate,0,0,12,41,43,18,114
192,Mid Suffolk,Prostate,0,2,21,48,55,29,155
222,St Albans,Prostate,0,1,16,42,68,29,156
223,Welwyn Hatfield,Prostate,0,1,9,55,43,22,130
224,East Hertfordshire,Prostate,0,2,16,47,46,17,128
225,Stevenage,Prostate,0,1,12,34,29,10,86
226,East Suffolk,Prostate,0,1,31,83,175,60,350
227,West Suffolk,Prostate,0,2,11,41,72,42,168
29,Peterborough,Skin,0,31,58,88,183,230,590
30,Luton,Skin,0,16,38,71,123,202,450
31,Southend-on-Sea,Skin,4,39,74,148,310,288,863
32,Thurrock,Skin,0,41,78,100,203,189,611
52,Bedford,Skin,0,37,56,103,236,292,724
53,Central Bedfordshire,Skin,0,63,137,220,417,404,1241
64,Cambridge,Skin,1,33,45,83,137,138,437
65,East Cambridgeshire,Skin,0,19,31,69,144,178,441
66,Fenland,Skin,0,10,23,85,149,170,437
67,Huntingdonshire,Skin,2,30,95,138,308,302,875
68,South Cambridgeshire,Skin,0,53,86,150,322,343,954
90,Basildon,Skin,2,48,100,151,295,302,898
91,Braintree,Skin,1,40,94,144,298,247,824
92,Brentwood,Skin,1,25,50,67,154,175,472
93,Castle Point,Skin,0,23,65,95,224,244,651
94,Chelmsford,Skin,2,67,102,192,358,350,1071
95,Colchester,Skin,1,47,77,130,256,316,827
96,Epping Forest,Skin,3,32,51,104,226,258,674
97,Harlow,Skin,1,21,39,68,102,137,368
98,Maldon,Skin,0,21,48,84,171,180,504
99,Rochford,Skin,1,28,48,92,176,225,570
100,Tendring,Skin,0,30,68,166,332,407,1003
101,Uttlesford,Skin,1,32,45,102,185,181,546
119,Broxbourne,Skin,1,26,42,77,181,190,517
120,Dacorum,Skin,1,38,54,131,217,222,663
121,Hertsmere,Skin,1,17,33,79,139,162,431
122,North Hertfordshire,Skin,0,35,50,100,187,215,587
123,Three Rivers,Skin,0,14,39,68,118,131,370
124,Watford,Skin,0,18,42,41,67,96,264
163,Breckland,Skin,0,29,55,100,235,243,662
164,Broadland,Skin,0,24,48,93,221,262,648
165,Great Yarmouth,Skin,0,14,44,61,171,186,476
166,King's Lynn and West Norfolk,Skin,0,38,64,140,329,373,944
167,North Norfolk,Skin,0,14,36,100,214,255,619
168,Norwich,Skin,1,12,28,62,123,143,369
169,South Norfolk,Skin,1,29,57,109,230,272,698
190,Babergh,Skin,0,21,31,95,207,198,552
191,Ipswich,Skin,0,27,33,76,148,179,463
192,Mid Suffolk,Skin,1,24,43,81,220,245,614
222,St Albans,Skin,0,35,67,103,195,238,638
223,Welwyn Hatfield,Skin,0,22,35,68,132,167,424
224,East Hertfordshire,Skin,1,38,81,127,240,292,779
225,Stevenage,Skin,0,23,30,61,107,118,339
226,East Suffolk,Skin,0,53,126,227,544,633,1583
227,West Suffolk,Skin,0,39,80,132,259,285,795
